SRR3948522	SRR3948580	SRR3948532	SRR3948545	SRR3948559	SRR3948571	SRR3948576	SRR3948549	SRR3948582	SRR3948523	SRR3948530	SRR3948535	SRR3948538	SRR3948546	SRR3948551	SRR3948569
gene-LOC117220831	7.60894858841211	7.43110861321423	7.56314313737026	7.41316902226988	7.41090631425636	7.42947152982461	7.18249007877433	7.39790873377083	7.51029514675688	7.83229782058093	7.50032883708699	7.96263210872867	7.63164189147946	7.93038502372355	7.80225210603449	7.55341701161998
gene-LOC117226120	10.5687425855791	9.81766306705184	10.0485019266295	9.85764747501968	9.70442695472702	9.83533135065707	11.2055767400522	10.5641766498355	10.1615947811363	8.99604168756024	9.96462108594276	8.94877700848544	9.73364288913378	8.66257290576701	9.74550503682149	10.5680844750064
gene-LOC117226293	4.87531671728104	5.28319191627966	5.32796561221846	5.13036249114418	5.22963325582503	5.31771000168416	5.4340332619137	4.87531671728104	5.65015071458347	5.14199541163208	5.15983064693189	5.12352160129076	5.13584000683355	5.13630048288631	5.39344512761169	5.15483641281468
gene-LOC117228733	7.7055721357403	7.82852226739139	7.7608191080064	7.6685616573146	7.62621205190308	7.7103014007321	7.80887909104397	7.97939144949604	8.03229153961364	7.76600820515818	7.93835945459963	7.74775910322804	7.61005984099471	7.82851145261712	8.02833480138637	7.6046549050004
gene-LOC117227058	7.76993572810249	7.76617685201505	8.00192640561589	7.65517708031284	7.89692315268832	7.85848145810674	7.71847423107153	7.97277423533413	7.90046597397406	8.34241398078179	7.90376919305394	8.42452237357052	8.40220121918979	8.70669534463264	8.22770634188968	7.82147160191788
gene-LOC117226434	9.97470986873708	9.86962711061895	9.89498040339107	9.88318692125122	9.98990405772076	9.90402196279504	9.84937894612925	10.0062714953021	9.96517084882423	10.05749337567	10.0973299054882	10.1060478802609	9.98681476381906	10.1271190649197	10.0826463824316	9.99975461426589
gene-LOC117226363	9.01675798403236	9.02871832370841	9.16924968438371	9.00332520087335	8.71597953437711	9.09208613077293	8.97039148245933	8.83862892428441	8.65617363748849	8.90481362235559	9.01194846124194	8.94877700848544	8.78026572880395	8.91472400277705	8.79817662567543	8.9853517509674
gene-LOC117226903	9.22497470061245	9.12366513618917	9.33060385920378	9.17429233920484	9.27299322899068	9.08469270672076	9.19057140566773	9.16015721220293	9.03707358144761	8.80737530385162	9.21795506038932	9.14852690265151	9.04518239084888	9.01245501700595	9.17157439296642	9.01038487430932
gene-LOC117229327	7.05756850296344	7.25784418045189	7.05321499460245	7.16748373561969	7.06741121831581	7.2594036754532	7.35542837804462	7.22671705448258	6.87355066315586	7.40318759020014	7.29868461915818	7.12535416434092	7.11761076726891	7.2876283049837	7.2901428493977	7.04152933140847
gene-LOC117229359	9.34235549118392	9.19145328916893	9.28632245405088	9.46885938232115	9.0604835837538	9.31688021872152	9.37658586766993	9.20830548295428	9.62160531683987	9.05195891577431	9.41029091044407	9.00384116539115	9.34108472878327	9.06544787920256	9.21179762785168	9.33145021847026
