F03BL	F14GR	F38BL	F42OR	F45OR	F47RD	F48SL	F51RD	F65ORWH	F67YLBL	F69OR	F71BL	W01RDYL	W08RDOR	W09RDOR	W13YLSL	W28ORYL	W40GROR	W46ORYL	W49RDYL	W54ORYL	W56YLBL	W58BLWH	W70RDYL
gene-LOC107074002	9.34193883578126	9.30027569729718	9.21649398419634	9.3393297005981	9.29772650012746	9.27610902952893	9.33800773545782	9.30611507256911	9.31498805768603	9.36295467536839	9.33697211581793	9.34755898705564	9.13908403799351	9.06483382467481	9.35232915152296	9.11680000271168	9.15027621769305	9.41693714300846	9.14244730815453	9.14373702459769	9.30404576129392	9.165913239998	9.23596940358521	9.34102215911628
gene-LOC107074025	8.05408640791468	7.62592972245907	8.11494054674504	7.47028950066424	7.58375985619589	7.5282459045789	7.78557290813189	7.99907541769733	7.96768559357502	7.74682059645732	8.03968675146148	7.59651326721226	7.53650669456704	7.59451427914353	7.66150781665559	7.52456823467677	7.55749019813145	7.92748771964523	7.4783403632928	7.94366440203006	7.84471850051121	7.74504707052299	7.83651605883702	7.70947238815938
gene-LOC107064696	8.94756938378222	9.71058804383794	9.01708017274075	9.46212570514217	9.58408366171016	9.63368510361253	9.46886862161027	9.31848807034753	9.62860672278996	9.65351348018371	9.44837063425959	9.55289873013763	9.49936853295552	9.60449215167554	9.46698313743178	9.71046647289133	9.47251087710164	9.63475637577536	9.64141075442417	9.30662070248063	9.38291222293602	9.2867002585209	9.27560238390994	9.55308580945911
gene-LOC107064068	9.89795879697103	8.46524810494783	9.61432954693161	9.30627658623101	9.6757257326148	7.94881152058845	9.88298258688005	8.34913972666367	9.46807168780455	9.16750545400839	8.62474549488052	10.1046370320215	9.18336422831453	7.97217974714189	8.70930384569404	9.13621616953805	9.80396895390366	8.02823194074918	9.6653567874412	10.4567379181547	9.4672322207228	9.59339923470022	10.3025628825397	9.73787569095532
gene-LOC107065449	5.78155677991238	5.40940586824772	5.39836527285865	5.60323057726303	5.45858484497658	5.41843088655253	5.7182594778216	5.63401775429314	5.6329470403414	5.67394588362796	5.55432171800015	5.46652720310984	6.12012960618834	6.32951500782344	6.07589990733522	6.10802863698612	6.39323731790429	5.62409102137038	6.06760325283242	6.49795344419303	6.38671796468279	6.66923420901824	6.21226779788667	6.00251420311616
gene-LOC107069649	11.1798318482261	10.4116359051554	11.5127787497164	10.8928207010642	11.0011775021799	10.7152596717079	10.8788165221768	10.7047292988807	10.4337972790554	10.8615928943613	10.5811028818973	11.0262659605824	10.3937645797634	10.256710411111	10.7524662962757	10.0510568965539	10.6254955507229	10.4351927316884	10.2827938709654	10.5613450895442	10.9555714246659	11.1886564128567	9.67009479608016	10.5092405355445
gene-LOC107073721	7.85763234718873	8.28321325261382	8.40340811783734	8.20431727761692	8.31470592015323	8.28686414503766	8.07953910183526	8.47436597581422	8.16431827629457	8.3051205497226	8.38181665209524	8.42974638586966	8.18643054091827	8.28431311752928	8.2761851455508	8.41142284623814	8.29391600266195	8.43008525326027	8.20915286505138	8.22438261213452	8.2934057403385	8.08224465514633	8.32515286985924	8.38518723252032
gene-LOC107064825	7.92620382420522	7.58765393414749	7.75889963833231	7.90886751280718	7.63652665628041	7.67046192273135	7.83795911308093	7.81366343770336	7.88066822746604	7.68225334378555	7.69494783715033	7.6759128448894	7.77783475118324	7.74388606510856	7.56477091742558	7.65621873065593	7.8074028586584	7.51962394076821	7.69061761963944	7.70316612686294	7.82077749900381	7.79999621440139	8.06176223862485	7.86255779998512
gene-LOC107064841	10.0491162455077	9.06017479998312	9.44346309593041	9.57739141682117	9.41622614447933	9.33329657012005	9.4124096328471	9.5140122546747	9.47543681958275	9.49320856054223	9.41775316087282	9.36730741591426	9.28309633455266	9.34378777825677	9.39272657360838	9.2652436109576	9.40134909279147	9.21058781526915	9.10787372423007	9.28826802857154	9.49365207837495	9.41037095824951	9.02729708930444	9.1092108509694
gene-LOC107065463	5.73829668612772	5.46326923287044	5.50054255542647	5.23640094548817	5.45858484497658	5.00918651207727	5.50953951104296	5.37244142900043	5.25409928817201	5.43737005027686	5.69298302596916	5.46652720310984	5.2592932955024	5.21561252488373	5.74074165425996	5.67827681874726	5.25221202828456	5.49476742629529	5.41328905307781	5.78919894649448	5.84502479455697	5.65812815570219	5.32440725528979	5.60414147137591
