Geneid	gene_name	SRR2916025_1Aligned.sortedByCoord.out.bam	SRR2917198_1Aligned.sortedByCoord.out.bam	SRR2916026_1Aligned.sortedByCoord.out.bam	SRR2915407_1Aligned.sortedByCoord.out.bam	SRR2917152_1Aligned.sortedByCoord.out.bam	SRR2916637_1Aligned.sortedByCoord.out.bam	SRR2916648_1Aligned.sortedByCoord.out.bam	SRR2916653_1Aligned.sortedByCoord.out.bam	SRR2916647_1Aligned.sortedByCoord.out.bam	SRR2916699_1Aligned.sortedByCoord.out.bam	SRR2916631_1Aligned.sortedByCoord.out.bam	SRR2916652_1Aligned.sortedByCoord.out.bam
Caust.v2_004571	NA	0	1	2	1	0	0	5	3	2	0	0	3
Caust.v2_022287	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019761	NA	0	0	0	0	0	0	0	0	1	0	0	0
Caust.v2_019762	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021459	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020851	NA	27	55	44	14	59	40	72	45	112	46	42	30
Caust.v2_017178	NA	37	55	54	35	53	34	73	72	43	23	63	54
Caust.v2_017179	NA	0	1	1	0	0	1	0	1	1	0	0	0
Caust.v2_017180	NA	0	6	0	0	3	0	0	0	0	3	0	0
Caust.v2_017181	NA	51	126	68	24	83	89	104	104	102	50	131	34
Caust.v2_017182	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019428	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019429	NA	2	2	9	2	1	7	11	9	4	5	4	6
Caust.v2_015408	NA	0	1	0	0	0	1	1	1	2	0	1	3
Caust.v2_015409	NA	0	0	0	0	0	0	0	1	0	0	0	0
Caust.v2_015410	NA	0	0	0	0	0	0	0	0	0	1	0	0
Caust.v2_015411	NA	5	0	0	3	0	1	0	0	1	0	0	0
Caust.v2_015412	NA	0	2	0	1	0	0	0	2	2	0	1	0
Caust.v2_015413	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_015414	NA	147	172	199	63	183	120	389	274	333	75	166	175
Caust.v2_015415	NA	0	0	0	0	0	0	3	0	0	0	0	0
Caust.v2_015416	NA	0	1	0	0	0	1	0	0	0	0	0	0
Caust.v2_015417	NA	7	7	12	2	10	6	13	16	20	6	10	9
Caust.v2_022186	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019427	NA	10	17	10	5	20	9	21	25	16	11	4	6
Caust.v2_022454	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017746	NA	47	57	73	25	44	62	128	97	88	44	126	61
Caust.v2_017747	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017748	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017749	NA	0	0	0	0	0	0	0	1	0	1	1	1
Caust.v2_017750	NA	0	0	1	0	0	0	0	0	0	0	1	1
Caust.v2_017751	NA	1	3	1	2	0	0	1	0	0	0	2	0
Caust.v2_021262	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020182	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020183	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020184	NA	0	0	0	0	0	0	1	0	1	0	0	0
Caust.v2_022571	NA	1	0	0	0	0	0	0	0	0	0	1	0
Caust.v2_021748	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_022183	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_018520	NA	8	62	21	7	16	17	27	26	15	6	7	24
Caust.v2_018521	NA	1	3	5	4	1	5	2	8	12	2	4	0
Caust.v2_018522	NA	18	39	38	3	33	36	80	54	83	27	44	20
Caust.v2_018523	NA	420	168	93	65	280	219	63	380	175	139	502	306
Caust.v2_018524	NA	0	0	0	0	0	0	0	1	0	1	2	0
Caust.v2_016245	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016246	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016247	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016248	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016249	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016250	NA	0	3	0	0	2	0	0	0	1	1	0	0
Caust.v2_016251	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016252	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016253	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016254	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016255	NA	0	0	0	0	0	0	0	0	0	0	0	0
