,SRR1519108,SRR1519109,SRR1519110,SRR1519111,SRR1519112,SRR1519113,SRR1519114,SRR1519115,SRR1519116,SRR1519117
gene-LOC106783776,3.58758679248748,4.01024883627017,4.03278703078089,3.7361322801762,4.3716364922932,2.40215135198713,1.55036294903436,1.55036294903436,4.65622822116035,4.31352080559029
gene-LOC106793385,1.55036294903436,2.33978499918959,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436
gene-LOC106793548,5.21205863634715,5.80868440288489,3.22564362518951,4.38256645464597,3.28475141788974,5.13096327049326,4.94709261701682,4.84503643417161,3.86167941072302,3.6733709591935
gene-LOC106793472,4.59518709479179,4.76121665978043,4.53241933994666,4.90234840227414,4.50104926227541,4.0799303887074,4.68588045875522,3.5973575464833,4.78459047926679,4.26149310704729
gene-LOC106793491,3.81677292378624,3.73384167866449,4.53241933994666,3.82531572948949,4.30210303548531,4.16936017379229,4.29053807025618,3.5973575464833,4.58736446788967,4.59035069752708
gene-LOC106793486,4.01201213389522,1.55036294903436,1.55036294903436,2.30109566647131,2.6850709394235,2.98711331322804,3.73319235245415,4.08255703786907,2.44344762885824,2.24313850179021
gene-LOC106793272,1.55036294903436,1.55036294903436,2.42252340761974,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,2.79490606166717,1.55036294903436,3.49752353702523
gene-LOC106793258,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,2.36278714605673,2.40215135198713,2.71686545532134,3.44142551406006,1.55036294903436,2.24313850179021
gene-LOC106787496,2.94294464255601,3.92432288081342,3.22564362518951,3.30074193922847,3.43081585461389,3.1892384662706,2.38612241165812,2.4435942176797,3.26286483416784,2.72881094319821
gene-LOC106787961,1.55036294903436,2.33978499918959,2.42252340761974,1.55036294903436,1.55036294903436,2.98711331322804,2.38612241165812,1.55036294903436,1.55036294903436,2.24313850179021
gene-LOC106787891,3.45562077855378,2.33978499918959,1.55036294903436,1.55036294903436,2.9237417511242,2.40215135198713,3.16047977183782,1.55036294903436,1.55036294903436,1.55036294903436
gene-LOC106787688,2.70129639917341,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,2.73866932628577,2.38612241165812,2.79490606166717,1.55036294903436,1.55036294903436
gene-LOC106793396,2.37469004298843,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,2.98711331322804,2.38612241165812,3.05341010703165,1.55036294903436,1.55036294903436
gene-LOC106788839,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,2.24313850179021
gene-LOC106793500,1.55036294903436,3.38261306558923,1.55036294903436,2.30109566647131,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,2.44344762885824,1.55036294903436
gene-LOC106792840,1.55036294903436,2.33978499918959,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,2.79490606166717,2.44344762885824,2.72881094319821
gene-LOC106792406,4.91341805872808,5.14091644410912,5.14598479771501,4.90234840227414,5.01315577903839,4.84200040278633,5.24697691183957,5.25122113738421,4.72187212736164,4.5040453793468
gene-LOC106792589,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,4.04040065085578,3.05341010703165,1.55036294903436,1.55036294903436
gene-LOC106792721,2.70129639917341,2.33978499918959,1.55036294903436,1.55036294903436,1.55036294903436,2.73866932628577,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436
gene-LOC106792988,2.37469004298843,2.65367086676609,1.55036294903436,2.60072608131789,1.55036294903436,3.1892384662706,2.38612241165812,1.55036294903436,1.55036294903436,2.24313850179021
gene-LOC106793028,2.70129639917341,2.88653360510676,1.55036294903436,2.60072608131789,2.6850709394235,3.1892384662706,2.71686545532134,3.2631249830028,1.55036294903436,2.24313850179021
gene-LOC106793018,4.81511110613967,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,3.36150764634174,3.8436599922063,4.65661513180994,1.55036294903436,1.55036294903436
gene-LOC106793253,3.30804768718225,1.55036294903436,1.55036294903436,1.55036294903436,2.6850709394235,2.73866932628577,2.38612241165812,1.55036294903436,2.44344762885824,2.24313850179021
gene-LOC106793468,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436
gene-LOC106793323,3.45562077855378,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,1.55036294903436,2.24313850179021
gene-LOC106793332,5.92451420050075,4.30812676456617,4.60063668715222,3.64042685222145,3.78863533201226,6.708312228765,6.25731429813661,6.29959307613431,3.73604617378906,4.45880611834897
gene-LOC106790725,3.70720934804381,3.73384167866449,3.92837387665193,3.64042685222145,3.78863533201226,3.8811304916732,2.96135531545208,3.05341010703165,4.08221249234348,3.17624323726476
gene-LOC106790959,5.85256500191999,6.73431622955023,6.84574827235614,6.74379079474893,6.30701189042077,6.57140319625712,6.38509704966713,6.11860509043693,6.78217067379517,5.67603006934439
