	SRR3948522	SRR3948580	SRR3948532	SRR3948545	SRR3948559	SRR3948571	SRR3948576	SRR3948549	SRR3948582	SRR3948523	SRR3948530	SRR3948535	SRR3948538	SRR3948546	SRR3948551	SRR3948569
gene-LOC117218355	30.3451263068441	47.4625433604942	45.6104044256496	45.0382487563367	45.615779446463	50.0920838585463	26.45705627927	38.5223674647735	48.6800662222049	31.2844872898058	38.654337894625	47.1227673107372	38.2629534528277	37.8178396913697	32.340766278268	40.7650436405667
gene-LOC117218352	546.990353684907	608.311597403667	610.403071994332	532.186653671815	466.684512798429	466.598484830533	482.841277096677	474.731528462944	544.173597412505	405.689157758127	510.464638667253	496.122719988516	506.984133249966	435.390000549359	464.185115993964	515.622714156357
gene-LOC117218358	0.77808016171395	1.58208477868314	2.91130241014785	1.83829586760558	0	0	0	0	1.73857379365018	0	0	0.88910881718372	0	0	0	0
gene-LOC117218357	3.89040080856975	0	4.85217068357975	6.43403553661953	2.63167958344979	2.78289354769702	9.92139610472624	3.39903242336237	0	3.02753102804573	5.68446145509191	1.77821763436744	0	2.90906459164383	0.951199008184352	3.30527380869459
gene-LOC117218351	24.1204850131325	41.1342042457616	32.9947606483423	44.1191008225339	17.5445305563319	27.8289354769702	26.45705627927	28.3252701946864	24.3400331111025	20.1835401869715	27.2854149844412	18.6712851608581	33.4800842712242	27.151269522009	24.7311742127932	41.8668015767982
gene-LOC117218353	669.927019235711	675.5502004977	623.989149908356	653.514180933784	716.694073226159	716.131272940699	654.812142911932	634.486052360975	681.520927110869	754.864402992734	673.040236282882	685.502898048648	664.818816242881	733.084277094244	686.765683909102	705.12507918818
gene-LOC117218350	1262.82410246174	1714.18885770318	1335.31737212115	2306.1421659112	1028.98671712887	2589.94626172336	5452.35834821955	665.077344171236	1229.17167211067	465.230601309693	982.274939439882	224.055421930298	736.561853966932	317.088040489177	800.909564891224	4452.20382031162
gene-LOC117218295	5.44656113199765	3.95521194670785	24.2608534178987	11.9489231394363	13.1583979172489	4.63815591282836	5.51188672484791	3.39903242336237	15.6471641428516	2.01835401869715	12.5058152012022	9.78019698902092	7.65259069056553	4.84844098607304	19.9751791718714	8.81406348985225
gene-LOC117218309	3.89040080856975	10.2835510614404	4.85217068357975	5.51488760281674	6.14058569471617	3.71052473026269	3.30713203490875	3.39903242336237	15.6471641428516	25.2294252337144	12.5058152012022	19.5603939780418	10.5223121995276	25.2118931275798	7.60959206547482	4.40703174492612
gene-LOC117218314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117218312	2.33424048514185	0	0	0.91914793380279	0	1.85526236513135	1.10237734496958	0	6.95429517460071	0	0	0	0	0	0	1.10175793623153
gene-LOC117218310	0.77808016171395	0	0	1.83829586760558	0	0	1.10237734496958	2.26602161557491	3.47714758730035	0	0	0	0	0.969688197214609	0	1.10175793623153
gene-LOC117218311	1.5561603234279	0.791042389341569	0	0	0.877226527816596	0	1.10237734496958	6.79806484672473	5.21572138095053	3.02753102804573	2.27378458203676	0.88910881718372	0.956573836320691	0	0.951199008184352	2.20351587246306
gene-LOC117218313	0.77808016171395	0	0	0	0.877226527816596	0	2.20475468993916	1.13301080778746	0	0	0	0.88910881718372	0	0	0	0
gene-LOC117218317	0	0	0	0	0.877226527816596	0	0	4.53204323114982	3.47714758730035	0	10.2320306191654	0	1.91314767264138	0	1.9023980163687	1.10175793623153
gene-LOC117218326	257.544533527318	219.909784236956	449.311005299485	129.599858666193	322.819362236507	101.111798899658	242.523015893308	299.114853255888	238.184609730074	165.505029533166	219.420212166548	208.940572038174	383.586108364597	101.817260707534	189.288602628686	202.723460266602
gene-LOC117218327	2294.55839689444	1877.93463229689	2009.76909713873	2093.81899320276	1236.8894042214	1463.80200608863	4018.16542241413	2711.29486303538	1502.12775771375	1026.3330185075	1625.75597615629	794.863282562246	1492.25518466028	708.842072163879	1330.72741244991	2391.91647955865
gene-LOC117218315	5.44656113199765	0	2.91130241014785	5.51488760281674	5.26335916689958	12.0592053733537	2.20475468993916	3.39903242336237	3.47714758730035	4.0367080373943	2.27378458203676	2.66732645155116	4.78286918160346	2.90906459164383	9.51199008184352	7.71230555362072
gene-LOC117218329	55.2436914816905	52.9998400858851	80.5460333474238	66.1786512338009	54.388044724629	73.2828634226882	56.2212445934487	77.044734929547	55.6343613968057	117.064533084435	77.3086757892499	122.697016771353	87.0482191051829	127.998842032328	98.9246968511726	66.1054761738919
gene-LOC117218330	1065.96982154811	912.862917300171	1416.83383960529	1071.72649081405	1073.72527004751	1342.28232117253	941.430252604023	1197.59242383134	1303.93034523763	1964.86763720168	1380.18724129632	2124.97007306909	1551.56276251216	2142.04122764707	1478.16325871848	1208.62845604599
gene-LOC117218296	26.4547254982743	23.7312716802471	31.0538923749104	23.8978462788725	28.9484754179477	19.4802548338791	39.685584418905	16.9951621168118	13.9085903492014	19.1743631776229	23.874738111386	13.3366322577558	31.5669365985828	13.5756347610045	17.1215821473183	33.0527380869459
gene-LOC117218359	81.6984169799648	55.3729672539098	79.5755992107079	82.7233140422511	74.5642548644107	88.1249623437389	114.647243876837	66.8476376594599	67.8043779523569	75.6882757011431	92.0882755724889	64.0158348372279	86.0916452688622	66.908485607808	118.899876023044	106.870519814459
gene-LOC117218360	1.5561603234279	0	1.9408682734319	0.91914793380279	2.63167958344979	0	1.10237734496958	0	3.47714758730035	0	0	0	0.956573836320691	0	3.80479603273741	1.10175793623153
gene-LOC117218297	46.684809702837	40.34316185642	51.4330092459453	49.6339884253507	42.9840998630132	51.019715041112	41.8903391088441	46.4534431192857	62.5886565714064	56.5139125235202	43.2019070586985	38.2316791389	44.0023964707518	59.1509800300911	42.8039553682958	50.6808650666504
gene-LOC117218361	1550.7137622959	1918.27779415331	1052.92103833681	1251.8794858394	1942.17953258594	1453.59806308041	1646.95175338456	2313.60806950198	1966.32696061835	3658.26665888858	2097.56627692891	3151.89075691629	2335.95330829513	2936.21586116584	1285.06986005706	1451.01520201693
gene-LOC117218362	173.511876062211	97.298213889013	43.6695361522177	38.6042132197172	76.3187079200438	112.243373090446	59.5283766283574	145.025383396794	172.118805571367	268.441084486721	43.2019070586985	128.031669674456	75.5693330693346	238.543296514794	74.1935226383794	62.8002023651973
gene-LOC117218319	0	0	0	0	2.63167958344979	10.2039430082224	0	0	0	2.01835401869715	0	0	0.956573836320691	2.90906459164383	1.9023980163687	0
gene-LOC117218333	1.5561603234279	0	0	0	0	0.927631182565673	0	0	0	0	0	0	0	0	0	0
gene-LOC117218318	225.643246897046	268.954412376134	276.573728964046	205.889137171825	335.10053362594	294.059084873318	287.720487037061	287.784745178014	236.446035936424	335.046767103727	267.16968838932	232.946510102135	256.361788133945	386.905590688629	254.921334193406	274.337726121651
gene-LOC117218308	0	0	0	0	0	0	0	0	0	0	0	0	0.956573836320691	0	0	0
gene-LOC117218307	0	0	0	0	0	0	0	0	0	1.00917700934858	1.13689229101838	0	0	0	0	1.10175793623153
gene-LOC117218298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117218332	0	0	0	0	0	0	0	1.13301080778746	0	0	0	0	0.956573836320691	0	0	0
gene-LOC117218325	139.276348946797	137.641375745433	153.32859360112	118.57008346056	175.445305563319	137.28941501972	141.104300156106	193.744848131655	177.334526952318	255.32178336519	154.6173515785	216.053442575644	192.271341100459	242.422049303652	176.923015522289	124.498646794163
gene-LOC117218316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117218279	0	0.791042389341569	1.9408682734319	0	0	2.78289354769702	0	3.39903242336237	1.73857379365018	1.00917700934858	0	0	0.956573836320691	0.969688197214609	2.85359702455306	1.10175793623153
