geneID	Reproductive.GS.metaZ	Reproductive.GS.metaPval	Reproductive.GS.cor.Ceratina_australensis	Reproductive.GS.pval.Ceratina_australensis	Reproductive.GS.cor.Ceratina_calcarata	Reproductive.GS.pval.Ceratina_calcarata	Reproductive.GS.cor.Megalopta_genalis	Reproductive.GS.pval.Megalopta_genalis
OG0001029	-2.40302154864428	0.01626022924056	-0.937818568240178	0.00567958248371291	-0.801189800278515	0.0553592074414006	0.376351955842726	0.150787218618113
OG0001030	-0.753354405692181	0.451236973479657	0.106210583775467	0.841283188571359	-0.513030642555277	0.297968981645578	-0.102376546054775	0.705964242524451
OG0001033	0.919351453520187	0.357911772955154	-0.6674068679845	0.147531861817389	0.892469624386465	0.01672249739081	0.0897192663528311	0.74107285138006
OG0001036	1.12355844007436	0.261200395430403	-0.204718318274756	0.697212352963399	0.419538630563176	0.407614109856055	0.373168561187211	0.154552424642765
OG0001037	-0.0788300645411151	0.937167790404745	-0.844285558011626	0.0344826781057745	0.485047248418184	0.329487862510608	0.32843039033465	0.214249287205609
OG0001038	5.00104523400046	0.000000570203311931149	0.452226527224624	0.367902368587314	0.9846909584371	0.000349756165176168	0.637701880013679	0.00786915781607757
OG0001041	2.61224937425348	0.00899486163931921	0.805550281686528	0.0530399001313875	0.916579769989871	0.0101481441926387	-0.220371428091413	0.41213792524171
OG0001042	-0.666320391558446	0.505206334412673	0.45623511312331	0.363130108855422	-0.458965140863739	0.359892562804477	-0.297341425162459	0.263387173472985
OG0001044	1.93785528569788	0.05264088053187	0.86713656443235	0.025306340079254	0.236712409869743	0.651563210611177	0.0616716358977364	0.820508637285296
OG0001045	2.47588869247305	0.0132905005519801	0.856374028863595	0.0294612409793698	0.763565160938227	0.0772436265114691	-0.074753027489337	0.783207591329751
OG0001047	-1.19555317716272	0.231870972760322	-0.676208490087511	0.140288109399281	0.55563148704197	0.252321809738033	-0.420977152585811	0.104413249293293
OG0001049	-0.484573524124671	0.627978898172399	-0.592156525000605	0.215584862823795	0.444581342966009	0.377064308170766	-0.115262333742148	0.670784435969179
OG0001050	0.5503447528132	0.582082934280616	-0.532315182327276	0.276945496042473	0.958615166281967	0.00253361669812262	-0.429201727443261	0.0971179201245616
OG0001052	0.593647463406147	0.552747928484089	-0.557096147473003	0.25080487750061	0.729405981425488	0.0999250853890132	0.114561259670997	0.67268280904419
OG0001053	0.994257497499286	0.320097522107976	0.307354549186412	0.553485579489281	0.359785630079751	0.483607906178362	0.0889182235004144	0.743311774816877
OG0001054	-3.18118325605233	0.0014667481619939	-0.942854118001282	0.00480516846707089	-0.526770778699667	0.282929972875469	-0.213757609192092	0.426657038546396
OG0001060	-0.1937776186177	0.846350012583959	-0.50218594302334	0.310044403081516	0.353065852719416	0.492407020479509	0.00826714319157784	0.975758947439385
