Geneid	gene_name	SRR6780155_1Aligned.sortedByCoord.out.bam
gene-LOC107068121	LOC107068121	94
gene-LOC107068125	LOC107068125	13
gene-LOC107068122	LOC107068122	275
gene-LOC107068123	LOC107068123	282
gene-LOC107068124	LOC107068124	667
gene-LOC107068126	LOC107068126	41
gene-LOC107068127	LOC107068127	942
gene-LOC107068129	LOC107068129	123
gene-LOC107068130	LOC107068130	24
gene-LOC107068131	LOC107068131	9
gene-LOC107068050	LOC107068050	0
gene-LOC107068152	LOC107068152	51
gene-LOC107068154	LOC107068154	196
gene-LOC107068153	LOC107068153	365
gene-LOC107068156	LOC107068156	246
gene-LOC107068105	LOC107068105	89
gene-LOC107068106	LOC107068106	14
gene-LOC107068051	LOC107068051	1
gene-LOC107068132	LOC107068132	1255
gene-LOC107068134	LOC107068134	731
gene-LOC107068133	LOC107068133	2298
gene-LOC107068166	LOC107068166	397
gene-LOC107068103	LOC107068103	40
gene-LOC107068221	LOC107068221	653
gene-LOC107068222	LOC107068222	1493
gene-LOC107068256	LOC107068256	75
gene-LOC107068257	LOC107068257	3
gene-LOC107068248	LOC107068248	180
gene-LOC107068249	LOC107068249	340
gene-LOC107068250	LOC107068250	349
gene-LOC107068218	LOC107068218	722
gene-LOC107068219	LOC107068219	108
gene-LOC107068220	LOC107068220	23
gene-LOC107068244	LOC107068244	502
gene-LOC107068246	LOC107068246	104
gene-LOC107068245	LOC107068245	212
gene-LOC107068247	LOC107068247	4
gene-LOC107068242	LOC107068242	235
gene-LOC107068243	LOC107068243	0
gene-LOC107068231	LOC107068231	213
gene-LOC107068233	LOC107068233	136
gene-LOC107068232	LOC107068232	883
gene-LOC107068184	LOC107068184	234
gene-LOC107068259	LOC107068259	207
gene-LOC107068260	LOC107068260	362
gene-LOC107068264	LOC107068264	14
gene-LOC107068265	LOC107068265	50
gene-LOC107068210	LOC107068210	166
gene-LOC107068209	LOC107068209	229
gene-LOC107068214	LOC107068214	224
gene-LOC107068213	LOC107068213	93
gene-LOC107068211	LOC107068211	130
gene-LOC107068270	LOC107068270	41
gene-LOC107068253	LOC107068253	128
gene-LOC107068254	LOC107068254	113
gene-LOC107068252	LOC107068252	43
gene-LOC107068234	LOC107068234	768
gene-LOC107068235	LOC107068235	29
gene-LOC107068236	LOC107068236	125
gene-LOC107068181	LOC107068181	4
gene-LOC107068266	LOC107068266	70
gene-LOC107068267	LOC107068267	30
gene-LOC107068251	LOC107068251	111
gene-LOC107068185	LOC107068185	655
gene-LOC107068194	LOC107068194	37
gene-LOC107068197	LOC107068197	49
gene-LOC107068191	LOC107068191	754
gene-LOC107068196	LOC107068196	13
gene-LOC107068193	LOC107068193	3
gene-LOC107068195	LOC107068195	13
gene-LOC107068189	LOC107068189	1475
gene-LOC107068190	LOC107068190	158
gene-LOC107068192	LOC107068192	5
gene-LOC107068186	LOC107068186	73
gene-LOC107068261	LOC107068261	87
gene-LOC107068263	LOC107068263	149
gene-LOC107068182	LOC107068182	0
gene-LOC107068188	LOC107068188	36
gene-LOC107068215	LOC107068215	67
gene-LOC107068216	LOC107068216	5620
gene-LOC107068217	LOC107068217	986
gene-LOC107068187	LOC107068187	5
gene-LOC107068241	LOC107068241	912
gene-LOC107068269	LOC107068269	83
gene-LOC107068258	LOC107068258	309
gene-LOC107068226	LOC107068226	242
gene-LOC107068223	LOC107068223	140
gene-LOC107068224	LOC107068224	238
gene-LOC107068227	LOC107068227	602
gene-LOC107068228	LOC107068228	81
gene-LOC107068230	LOC107068230	73
gene-LOC107068237	LOC107068237	315
gene-LOC107068238	LOC107068238	734
gene-LOC107068239	LOC107068239	419
gene-LOC107068268	LOC107068268	440
gene-LOC107068198	LOC107068198	140
gene-LOC107068183	LOC107068183	2
gene-LOC107068200	LOC107068200	10
gene-Trnar-acg-4	Trnar-acg	0
gene-LOC107068201	LOC107068201	921
gene-LOC107068202	LOC107068202	90
gene-LOC107068204	LOC107068204	21
gene-LOC107068203	LOC107068203	183
gene-LOC107068208	LOC107068208	119
gene-LOC107068205	LOC107068205	80
gene-LOC107068207	LOC107068207	129
gene-LOC107068330	LOC107068330	1871
gene-LOC107068377	LOC107068377	53
gene-LOC107068378	LOC107068378	177
gene-LOC107068395	LOC107068395	143
gene-LOC107068400	LOC107068400	107
gene-LOC107068406	LOC107068406	77
gene-LOC107068271	LOC107068271	31
gene-LOC107068424	LOC107068424	44
gene-LOC107068272	LOC107068272	2
gene-LOC107068401	LOC107068401	513
gene-LOC107068402	LOC107068402	148
gene-LOC107068349	LOC107068349	169
gene-LOC107068350	LOC107068350	261
gene-LOC107068351	LOC107068351	500
gene-LOC107068352	LOC107068352	553
gene-LOC107068421	LOC107068421	32
gene-LOC107068422	LOC107068422	3
gene-LOC107068414	LOC107068414	21
gene-LOC107068397	LOC107068397	174
gene-LOC107068396	LOC107068396	323
gene-LOC107068375	LOC107068375	607
gene-LOC107068376	LOC107068376	76
gene-LOC107068415	LOC107068415	39
gene-LOC107068416	LOC107068416	12
gene-LOC107068417	LOC107068417	16
gene-LOC107068410	LOC107068410	368
gene-LOC107068367	LOC107068367	179
gene-LOC107068369	LOC107068369	65
gene-LOC107068368	LOC107068368	101
gene-LOC107068398	LOC107068398	2064
gene-LOC107068345	LOC107068345	126
gene-LOC107068346	LOC107068346	378
gene-LOC107068347	LOC107068347	44
gene-LOC107068273	LOC107068273	0
gene-LOC107068348	LOC107068348	7
gene-LOC107068426	LOC107068426	21
gene-LOC107068413	LOC107068413	247
gene-LOC107068423	LOC107068423	71
gene-LOC107068320	LOC107068320	59
gene-LOC107068325	LOC107068325	76
gene-LOC107068321	LOC107068321	153
gene-LOC107068322	LOC107068322	705
gene-LOC107068324	LOC107068324	99
gene-LOC107068326	LOC107068326	53
gene-LOC107068327	LOC107068327	77
gene-LOC107068329	LOC107068329	87
gene-LOC107068328	LOC107068328	100
gene-LOC107068287	LOC107068287	63
gene-LOC107068288	LOC107068288	29
gene-LOC107068372	LOC107068372	310
gene-LOC107068307	LOC107068307	182
gene-LOC107068304	LOC107068304	69
gene-LOC107068306	LOC107068306	117
gene-LOC107068308	LOC107068308	277
gene-LOC107068309	LOC107068309	174
gene-LOC107068311	LOC107068311	211
gene-LOC107068310	LOC107068310	1343
gene-LOC107068312	LOC107068312	110
gene-LOC107068313	LOC107068313	227
gene-LOC107068411	LOC107068411	166
gene-LOC107068399	LOC107068399	287
gene-LOC107068394	LOC107068394	123
gene-LOC107068379	LOC107068379	110
gene-LOC107068382	LOC107068382	98
gene-LOC107068381	LOC107068381	64
gene-LOC107068380	LOC107068380	46
gene-LOC107068292	LOC107068292	65
gene-LOC107068274	LOC107068274	1
gene-LOC107068275	LOC107068275	0
gene-LOC107068276	LOC107068276	1
gene-LOC107068419	LOC107068419	105
gene-LOC107068412	LOC107068412	161
gene-LOC107068388	LOC107068388	73
gene-LOC107068385	LOC107068385	75
gene-LOC107068386	LOC107068386	233
gene-LOC107068384	LOC107068384	101
gene-LOC107068387	LOC107068387	60
gene-LOC107068339	LOC107068339	196
gene-LOC107068337	LOC107068337	359
gene-LOC107068343	LOC107068343	375
gene-LOC107068342	LOC107068342	309
gene-LOC107068344	LOC107068344	35
gene-LOC107068340	LOC107068340	73
gene-LOC107068341	LOC107068341	76
gene-LOC107068286	LOC107068286	118
gene-LOC107068331	LOC107068331	392
gene-LOC107068334	LOC107068334	143
gene-LOC107068333	LOC107068333	658
gene-LOC107068332	LOC107068332	115
gene-LOC107068418	LOC107068418	193
gene-LOC107068425	LOC107068425	132
gene-LOC107068404	LOC107068404	134
gene-LOC107068405	LOC107068405	258
gene-LOC107068393	LOC107068393	229
gene-LOC107068420	LOC107068420	268
gene-LOC107068407	LOC107068407	1072
gene-LOC107068357	LOC107068357	51
gene-LOC107068354	LOC107068354	398
gene-LOC107068355	LOC107068355	145
gene-LOC107068356	LOC107068356	239
gene-LOC107068408	LOC107068408	143
gene-LOC107068403	LOC107068403	233
gene-LOC107068370	LOC107068370	323
gene-LOC107068278	LOC107068278	7
gene-LOC107068409	LOC107068409	127
gene-LOC107068291	LOC107068291	3
gene-LOC107068374	LOC107068374	1124
gene-LOC107068373	LOC107068373	617
gene-LOC107068290	LOC107068290	7
gene-LOC107068362	LOC107068362	293
gene-LOC107068365	LOC107068365	343
gene-LOC107068366	LOC107068366	201
gene-LOC107068363	LOC107068363	462
gene-LOC107068293	LOC107068293	1
gene-LOC107068358	LOC107068358	113
gene-LOC107068279	LOC107068279	323
gene-LOC107068359	LOC107068359	58
gene-LOC107068280	LOC107068280	8
gene-LOC107068360	LOC107068360	1403
gene-LOC107068361	LOC107068361	62
gene-LOC107068315	LOC107068315	466
gene-LOC107068314	LOC107068314	65
gene-LOC107068316	LOC107068316	665
gene-LOC107068281	LOC107068281	52
gene-LOC107068282	LOC107068282	3
gene-LOC107068283	LOC107068283	865
gene-LOC107068284	LOC107068284	2
gene-LOC107068317	LOC107068317	7
gene-LOC107068318	LOC107068318	282
gene-LOC107068319	LOC107068319	239
gene-LOC107068389	LOC107068389	3
gene-LOC107068390	LOC107068390	257
gene-LOC107068391	LOC107068391	211
gene-LOC107068335	LOC107068335	2791
gene-LOC107068294	LOC107068294	409
gene-LOC107068296	LOC107068296	319
gene-LOC107068295	LOC107068295	1010
gene-LOC107068297	LOC107068297	78
gene-LOC107068298	LOC107068298	159
gene-LOC107068299	LOC107068299	95
gene-LOC107068300	LOC107068300	903
gene-LOC107068302	LOC107068302	375
gene-LOC107068303	LOC107068303	104
gene-LOC107068301	LOC107068301	450
gene-LOC107068289	LOC107068289	122
gene-LOC107068551	LOC107068551	1
gene-LOC107068427	LOC107068427	1
gene-LOC107068543	LOC107068543	689
gene-LOC107068459	LOC107068459	555
gene-LOC107068454	LOC107068454	348
gene-LOC107068451	LOC107068451	94
gene-LOC107068461	LOC107068461	499
gene-LOC107068452	LOC107068452	73
gene-LOC107068457	LOC107068457	52
gene-LOC107068456	LOC107068456	21
gene-LOC107068453	LOC107068453	21
gene-LOC107068455	LOC107068455	40
gene-LOC107068450	LOC107068450	91
gene-LOC107068429	LOC107068429	345
gene-LOC107068458	LOC107068458	121
gene-LOC107068462	LOC107068462	245
gene-LOC107068464	LOC107068464	14
gene-LOC107068463	LOC107068463	289
gene-LOC107068467	LOC107068467	80
gene-LOC107068465	LOC107068465	71
gene-LOC107068476	LOC107068476	5
gene-LOC107068468	LOC107068468	138
gene-LOC107068473	LOC107068473	9
gene-LOC107068469	LOC107068469	157
gene-LOC107068472	LOC107068472	1252
gene-LOC107068475	LOC107068475	63
gene-LOC107068471	LOC107068471	105
gene-LOC107068470	LOC107068470	428
gene-LOC107068477	LOC107068477	811
gene-LOC107068545	LOC107068545	114
gene-LOC107068544	LOC107068544	110
gene-LOC107068550	LOC107068550	214
gene-LOC107068480	LOC107068480	34
gene-LOC107068548	LOC107068548	24
gene-LOC107068547	LOC107068547	295
gene-LOC107068537	LOC107068537	1310
gene-LOC107068539	LOC107068539	0
gene-LOC107068488	LOC107068488	1
gene-LOC107068489	LOC107068489	977
gene-LOC107068491	LOC107068491	3
gene-Trnas-cga-3	Trnas-cga	0
gene-LOC107068430	LOC107068430	2
gene-LOC107068492	LOC107068492	847
gene-LOC107068493	LOC107068493	4
gene-LOC107068495	LOC107068495	6
gene-LOC107068501	LOC107068501	1342
gene-LOC107068500	LOC107068500	165
gene-LOC107068499	LOC107068499	18
gene-LOC107068496	LOC107068496	1348
gene-LOC107068498	LOC107068498	94
gene-LOC107068502	LOC107068502	13
gene-LOC107068494	LOC107068494	219
gene-LOC107068478	LOC107068478	97
gene-LOC107068511	LOC107068511	121
gene-LOC107068512	LOC107068512	63
gene-LOC107068513	LOC107068513	261
gene-LOC107068514	LOC107068514	48
gene-LOC107068515	LOC107068515	453
gene-LOC107068516	LOC107068516	357
gene-LOC107068517	LOC107068517	96
gene-LOC107068519	LOC107068519	133
gene-LOC107068523	LOC107068523	56
gene-LOC107068520	LOC107068520	22
gene-LOC107068518	LOC107068518	48
gene-LOC107068521	LOC107068521	150
gene-LOC107068524	LOC107068524	1069
gene-LOC107068535	LOC107068535	727
gene-LOC107068542	LOC107068542	290
gene-LOC107068527	LOC107068527	86
gene-LOC107068526	LOC107068526	135
gene-LOC107068525	LOC107068525	642
gene-LOC107068528	LOC107068528	45
gene-LOC107068529	LOC107068529	112
gene-LOC107068482	LOC107068482	1128
gene-LOC107068481	LOC107068481	563
gene-LOC107068484	LOC107068484	1086
gene-LOC107068486	LOC107068486	492
gene-LOC107068487	LOC107068487	727
gene-LOC107068485	LOC107068485	5226
gene-LOC107068546	LOC107068546	990
gene-LOC107068432	LOC107068432	103
gene-LOC107068438	LOC107068438	6
gene-LOC107068435	LOC107068435	88
gene-LOC107068437	LOC107068437	78
gene-LOC107068436	LOC107068436	436
gene-LOC107068433	LOC107068433	7486
gene-LOC107068441	LOC107068441	5
gene-LOC107068431	LOC107068431	21
gene-LOC107068444	LOC107068444	144
gene-LOC107068443	LOC107068443	245
gene-LOC107068446	LOC107068446	7
gene-LOC107068445	LOC107068445	15
gene-LOC107068439	LOC107068439	944
gene-LOC107068442	LOC107068442	2371
gene-LOC107068447	LOC107068447	857
gene-LOC107068448	LOC107068448	248
gene-LOC107068479	LOC107068479	62
gene-LOC107068549	LOC107068549	405
gene-LOC107068530	LOC107068530	43
gene-LOC107068531	LOC107068531	1
gene-LOC107068532	LOC107068532	793
gene-LOC107068533	LOC107068533	313
gene-LOC107068534	LOC107068534	832
gene-LOC107068541	LOC107068541	860
gene-LOC107068540	LOC107068540	248
gene-LOC107068503	LOC107068503	899
gene-LOC107068507	LOC107068507	41
gene-LOC107068506	LOC107068506	28
gene-LOC107068504	LOC107068504	215
gene-LOC107068508	LOC107068508	3776
gene-LOC107068510	LOC107068510	4
gene-LOC107068509	LOC107068509	86
gene-LOC107068579	LOC107068579	32
gene-LOC107068580	LOC107068580	169
gene-LOC107068577	LOC107068577	32
gene-LOC107068587	LOC107068587	202
gene-LOC107068582	LOC107068582	3795
gene-LOC107068585	LOC107068585	45
gene-LOC107068581	LOC107068581	996
gene-LOC107068586	LOC107068586	6
gene-LOC107068584	LOC107068584	61
gene-LOC107068588	LOC107068588	5384
gene-LOC107068600	LOC107068600	2914
gene-LOC107068602	LOC107068602	117
gene-LOC107068595	LOC107068595	55
gene-LOC107068596	LOC107068596	552
gene-LOC107068597	LOC107068597	47
gene-LOC107068599	LOC107068599	195
gene-LOC107068598	LOC107068598	593
gene-LOC107068628	LOC107068628	9
gene-LOC107068627	LOC107068627	25
gene-LOC107068619	LOC107068619	557
gene-LOC107068589	LOC107068589	674
gene-LOC107068592	LOC107068592	10
gene-LOC107068593	LOC107068593	72
gene-LOC107068620	LOC107068620	111
gene-LOC107068563	LOC107068563	2
gene-LOC107068621	LOC107068621	145
gene-LOC107068616	LOC107068616	106
gene-LOC107068618	LOC107068618	12
gene-LOC107068625	LOC107068625	381
gene-LOC107068622	LOC107068622	89
gene-LOC107068626	LOC107068626	35
gene-LOC107068624	LOC107068624	186
gene-LOC107068552	LOC107068552	1
gene-LOC107068553	LOC107068553	11
gene-LOC107068562	LOC107068562	9
gene-LOC107068554	LOC107068554	7
gene-LOC107068555	LOC107068555	0
gene-LOC107068633	LOC107068633	160
gene-LOC107068603	LOC107068603	87
gene-LOC107068556	LOC107068556	1
gene-LOC107068557	LOC107068557	0
gene-LOC107068558	LOC107068558	0
gene-LOC107068559	LOC107068559	0
gene-LOC107068604	LOC107068604	0
gene-LOC107068606	LOC107068606	11985
gene-LOC107068612	LOC107068612	102
gene-LOC107068614	LOC107068614	123
gene-LOC107068611	LOC107068611	41
gene-LOC107068613	LOC107068613	66
gene-LOC107068615	LOC107068615	11
gene-LOC107068560	LOC107068560	1
gene-LOC107068631	LOC107068631	110
gene-LOC107068634	LOC107068634	237
gene-LOC107068636	LOC107068636	129
gene-LOC107068630	LOC107068630	152
gene-LOC107068629	LOC107068629	120
gene-Trnae-cuc-4	Trnae-cuc	0
gene-Trnae-uuc-6	Trnae-uuc	0
gene-LOC107068635	LOC107068635	76
gene-LOC107068561	LOC107068561	1
gene-LOC107068564	LOC107068564	3103
gene-LOC107068565	LOC107068565	67
gene-LOC107068569	LOC107068569	43
gene-LOC107068567	LOC107068567	110
gene-LOC107068568	LOC107068568	101
gene-LOC107068570	LOC107068570	119
gene-LOC107068571	LOC107068571	167
gene-LOC107068573	LOC107068573	250
gene-LOC107068572	LOC107068572	322
gene-LOC107068574	LOC107068574	341
gene-LOC107068575	LOC107068575	696
gene-LOC107068576	LOC107068576	131
gene-LOC107068608	LOC107068608	639
gene-LOC107068609	LOC107068609	399
gene-LOC107068607	LOC107068607	761
gene-LOC107068638	LOC107068638	0
gene-LOC107068639	LOC107068639	0
gene-LOC107068640	LOC107068640	0
gene-LOC107068641	LOC107068641	0
gene-LOC107068642	LOC107068642	0
gene-LOC107068723	LOC107068723	190
gene-LOC107068725	LOC107068725	165
gene-LOC107068668	LOC107068668	122
gene-LOC107068669	LOC107068669	868
gene-LOC107068677	LOC107068677	74
gene-LOC107068678	LOC107068678	61
gene-LOC107068681	LOC107068681	304
gene-LOC107068670	LOC107068670	134
gene-LOC107068672	LOC107068672	38
gene-LOC107068675	LOC107068675	735
gene-LOC107068680	LOC107068680	166
gene-LOC107068667	LOC107068667	111
gene-LOC107068674	LOC107068674	799
gene-LOC107068666	LOC107068666	4066
gene-LOC107068679	LOC107068679	78
gene-LOC107068673	LOC107068673	420
gene-LOC107068650	LOC107068650	21
gene-LOC107068707	LOC107068707	100
gene-LOC107068706	LOC107068706	78
gene-LOC107068643	LOC107068643	114
gene-LOC107068708	LOC107068708	176
gene-LOC107068682	LOC107068682	267
gene-LOC107068684	LOC107068684	108
gene-LOC107068683	LOC107068683	265
gene-LOC107068685	LOC107068685	132
gene-LOC107068726	LOC107068726	384
gene-LOC107068644	LOC107068644	165
gene-LOC107068652	LOC107068652	950
gene-LOC107068654	LOC107068654	5531
gene-LOC107068645	LOC107068645	187
gene-LOC107068661	LOC107068661	77
gene-LOC107068659	LOC107068659	60
gene-LOC107068658	LOC107068658	1141
gene-LOC107068662	LOC107068662	91
gene-LOC107068665	LOC107068665	78
gene-LOC107068664	LOC107068664	67
gene-LOC107068655	LOC107068655	436
gene-LOC107068657	LOC107068657	175
gene-LOC107068686	LOC107068686	1852
gene-LOC107068651	LOC107068651	3
gene-LOC107068687	LOC107068687	22
gene-LOC107068689	LOC107068689	1885
gene-LOC107068688	LOC107068688	141
gene-LOC107068691	LOC107068691	587
gene-LOC107068690	LOC107068690	576
gene-LOC107068692	LOC107068692	387
gene-LOC107068693	LOC107068693	188
gene-LOC107068695	LOC107068695	153
gene-LOC107068696	LOC107068696	96
gene-LOC107068697	LOC107068697	3043
gene-LOC107068709	LOC107068709	166
gene-LOC107068647	LOC107068647	0
gene-LOC107068698	LOC107068698	574
gene-LOC107068704	LOC107068704	5928
gene-LOC107068703	LOC107068703	14
gene-LOC107068699	LOC107068699	1184
gene-LOC107068701	LOC107068701	4
gene-LOC107068705	LOC107068705	24
gene-LOC107068700	LOC107068700	1
gene-LOC107068716	LOC107068716	126
gene-LOC107068717	LOC107068717	215
gene-LOC107068718	LOC107068718	36
gene-LOC107068720	LOC107068720	136
gene-LOC107068648	LOC107068648	1
gene-LOC107068721	LOC107068721	151
gene-LOC107068722	LOC107068722	34
gene-LOC107068712	LOC107068712	6
gene-LOC107068714	LOC107068714	5
gene-LOC107068713	LOC107068713	197
gene-LOC107068710	LOC107068710	84
gene-LOC107068711	LOC107068711	25
gene-LOC107068727	LOC107068727	15
gene-LOC107068649	LOC107068649	16
gene-LOC107068737	LOC107068737	387
gene-LOC107068738	LOC107068738	165
gene-LOC107068739	LOC107068739	663
gene-LOC107068750	LOC107068750	81
gene-LOC107068728	LOC107068728	36
gene-LOC107068729	LOC107068729	0
gene-LOC107068736	LOC107068736	2
gene-LOC107068748	LOC107068748	624
gene-LOC107068749	LOC107068749	192
gene-LOC107068740	LOC107068740	0
gene-LOC107068741	LOC107068741	1
gene-LOC107068742	LOC107068742	203
gene-LOC107068744	LOC107068744	3
gene-LOC107068732	LOC107068732	62
gene-LOC107068730	LOC107068730	0
gene-LOC107068745	LOC107068745	474
gene-LOC107068746	LOC107068746	1
gene-LOC107068747	LOC107068747	0
gene-LOC107068731	LOC107068731	0
gene-LOC107068735	LOC107068735	3
gene-LOC107068752	LOC107068752	88
gene-LOC107068733	LOC107068733	15
gene-LOC107068787	LOC107068787	44
gene-LOC107068788	LOC107068788	239
gene-LOC107068789	LOC107068789	586
gene-LOC107068790	LOC107068790	3
gene-LOC107068759	LOC107068759	18
gene-LOC107068753	LOC107068753	25
gene-LOC107068763	LOC107068763	37
gene-LOC107068756	LOC107068756	39
gene-LOC107068762	LOC107068762	20
gene-LOC107068816	LOC107068816	345
gene-LOC107068811	LOC107068811	301
gene-LOC107068812	LOC107068812	127
gene-LOC107068754	LOC107068754	95
gene-LOC107068757	LOC107068757	7
gene-LOC107068758	LOC107068758	28
gene-LOC107068819	LOC107068819	6
gene-LOC107068820	LOC107068820	238
gene-LOC107068821	LOC107068821	31
gene-LOC107068805	LOC107068805	251
gene-LOC107068794	LOC107068794	613
gene-LOC107068796	LOC107068796	39
gene-LOC107068795	LOC107068795	103
gene-LOC107068797	LOC107068797	17
gene-LOC107068798	LOC107068798	165
gene-LOC107068780	LOC107068780	317
gene-LOC107068775	LOC107068775	366
gene-LOC107068779	LOC107068779	530
gene-LOC107068778	LOC107068778	90
gene-LOC107068776	LOC107068776	28
gene-LOC107068777	LOC107068777	12
gene-LOC107068783	LOC107068783	309
gene-LOC107068771	LOC107068771	695
gene-LOC107068772	LOC107068772	171
gene-LOC107068781	LOC107068781	192
gene-LOC107068782	LOC107068782	61
gene-LOC107068792	LOC107068792	132
gene-LOC107068791	LOC107068791	1132
gene-LOC107068793	LOC107068793	28
gene-LOC107068766	LOC107068766	301
gene-LOC107068767	LOC107068767	577
gene-LOC107068764	LOC107068764	3083
gene-LOC107068768	LOC107068768	1409
gene-LOC107068770	LOC107068770	130
gene-Trnap-cgg-2	Trnap-cgg	0
gene-LOC107068769	LOC107068769	57
gene-Trnah-gug-3	Trnah-gug	1
gene-LOC107068800	LOC107068800	412
gene-LOC107068784	LOC107068784	300
gene-LOC107068785	LOC107068785	243
gene-LOC107068786	LOC107068786	19
gene-LOC107068815	LOC107068815	110
gene-LOC107068774	LOC107068774	17
gene-LOC107068773	LOC107068773	676
gene-LOC107068807	LOC107068807	330
gene-LOC107068808	LOC107068808	117
gene-LOC107068809	LOC107068809	73
gene-LOC107068810	LOC107068810	169
gene-LOC107068813	LOC107068813	1293
gene-LOC107068761	LOC107068761	10
gene-LOC107068814	LOC107068814	259
gene-LOC107068806	LOC107068806	132
gene-LOC107068801	LOC107068801	277
gene-LOC107068802	LOC107068802	50
gene-LOC107068804	LOC107068804	4326
gene-LOC107068803	LOC107068803	139
gene-LOC107068823	LOC107068823	45
gene-LOC107068822	LOC107068822	551
gene-LOC107068826	LOC107068826	48
gene-LOC107068824	LOC107068824	18
gene-LOC107068825	LOC107068825	56
gene-LOC107068817	LOC107068817	185
gene-LOC107068818	LOC107068818	15
gene-LOC107068799	LOC107068799	209
gene-LOC107068755	LOC107068755	19
gene-LOC107068855	LOC107068855	352
gene-LOC107068857	LOC107068857	20
gene-LOC107068866	LOC107068866	10
gene-LOC107068859	LOC107068859	1636
gene-LOC107068858	LOC107068858	144
gene-LOC107068863	LOC107068863	128
gene-LOC107068849	LOC107068849	247
gene-LOC107068850	LOC107068850	1
gene-LOC107068861	LOC107068861	148
gene-LOC107068864	LOC107068864	140
gene-LOC107068829	LOC107068829	673
gene-LOC107068832	LOC107068832	164
gene-LOC107068830	LOC107068830	508
gene-LOC107068831	LOC107068831	193
gene-LOC107068833	LOC107068833	93
gene-LOC107068834	LOC107068834	4
gene-LOC107068862	LOC107068862	21
gene-LOC107068865	LOC107068865	8
gene-LOC107068867	LOC107068867	0
gene-LOC107068835	LOC107068835	5
gene-LOC107068837	LOC107068837	6
gene-LOC107068836	LOC107068836	205
gene-LOC107068840	LOC107068840	58
gene-LOC107068841	LOC107068841	43
gene-LOC107068838	LOC107068838	104
gene-LOC107068839	LOC107068839	40
gene-LOC107068842	LOC107068842	457
gene-LOC107068846	LOC107068846	96
gene-LOC107068843	LOC107068843	609
gene-LOC107068844	LOC107068844	2
gene-LOC107068845	LOC107068845	34
gene-LOC107068847	LOC107068847	240
gene-LOC107068848	LOC107068848	9
gene-LOC107068828	LOC107068828	166
gene-LOC107068853	LOC107068853	96
gene-LOC107068854	LOC107068854	1213
gene-LOC107068827	LOC107068827	1
gene-LOC107068852	LOC107068852	10
gene-LOC107068851	LOC107068851	152
gene-LOC107068944	LOC107068944	61
gene-LOC107068943	LOC107068943	118
gene-LOC107068945	LOC107068945	132
gene-LOC107068951	LOC107068951	142
gene-LOC107068885	LOC107068885	21
gene-LOC107068932	LOC107068932	790
gene-LOC107068931	LOC107068931	394
gene-LOC107068940	LOC107068940	89
gene-LOC107068941	LOC107068941	248
gene-LOC107068937	LOC107068937	71
gene-LOC107068936	LOC107068936	0
gene-LOC107068869	LOC107068869	62
gene-LOC107068935	LOC107068935	1357
gene-LOC107068886	LOC107068886	0
gene-LOC107068949	LOC107068949	509
gene-LOC107068870	LOC107068870	11
gene-LOC107068948	LOC107068948	80
gene-LOC107068938	LOC107068938	2430
gene-LOC107068947	LOC107068947	78
gene-LOC107068946	LOC107068946	90
gene-LOC107068915	LOC107068915	157
gene-LOC107068916	LOC107068916	981
gene-LOC107068918	LOC107068918	70
gene-LOC107068920	LOC107068920	89
gene-LOC107068919	LOC107068919	399
gene-LOC107068871	LOC107068871	0
gene-LOC107068939	LOC107068939	62
gene-Trnaa-cgc-2	Trnaa-cgc	0
gene-Trnak-uuu-6	Trnak-uuu	0
gene-Trnag-gcc-2	Trnag-gcc	0
gene-LOC107068872	LOC107068872	0
gene-LOC107068953	LOC107068953	127
gene-LOC107068913	LOC107068913	86
gene-LOC107068914	LOC107068914	244
gene-LOC107068873	LOC107068873	1
gene-LOC107068874	LOC107068874	0
gene-LOC107068910	LOC107068910	69
gene-LOC107068912	LOC107068912	96
gene-LOC107068876	LOC107068876	2
gene-LOC107068877	LOC107068877	3276
gene-LOC107068889	LOC107068889	20
gene-LOC107068887	LOC107068887	397
gene-LOC107068890	LOC107068890	310
gene-LOC107068921	LOC107068921	21
gene-LOC107068923	LOC107068923	670
gene-LOC107068925	LOC107068925	84
gene-LOC107068878	LOC107068878	99
gene-LOC107068927	LOC107068927	39
gene-LOC107068926	LOC107068926	381
gene-LOC107068891	LOC107068891	16
gene-Trnan-guu-5	Trnan-guu	0
gene-LOC107068892	LOC107068892	18414
gene-LOC107068880	LOC107068880	23
gene-LOC107068894	LOC107068894	97
gene-LOC107068893	LOC107068893	31
gene-LOC107068896	LOC107068896	107
gene-LOC107068897	LOC107068897	310
gene-LOC107068952	LOC107068952	202
gene-LOC107068930	LOC107068930	8
gene-LOC107068928	LOC107068928	159
gene-LOC107068899	LOC107068899	2
gene-LOC107068900	LOC107068900	1
gene-LOC107068898	LOC107068898	382
gene-LOC107068901	LOC107068901	405
gene-LOC107068902	LOC107068902	51
gene-LOC107068904	LOC107068904	49
gene-LOC107068905	LOC107068905	350
gene-LOC107068906	LOC107068906	597
gene-LOC107068907	LOC107068907	36
gene-LOC107068908	LOC107068908	4
gene-LOC107068909	LOC107068909	103
gene-LOC107068881	LOC107068881	2
gene-LOC107068882	LOC107068882	2
gene-LOC107068883	LOC107068883	0
gene-LOC107068933	LOC107068933	574
gene-LOC107068884	LOC107068884	104
gene-LOC107069071	LOC107069071	9
gene-LOC107069043	LOC107069043	110
