Geneid	gene_name	SRR6780155_1Aligned.sortedByCoord.out.bam
gene-LOC107074703	LOC107074703	873
gene-LOC107074568	LOC107074568	115
gene-LOC107074600	LOC107074600	199
gene-LOC107074560	LOC107074560	303
gene-LOC107074589	LOC107074589	222
gene-LOC107074579	LOC107074579	48
gene-LOC107074622	LOC107074622	1282
gene-LOC107074578	LOC107074578	18
gene-LOC107065392	LOC107065392	215
gene-LOC107064903	LOC107064903	774
gene-LOC107065426	LOC107065426	5
gene-LOC107066085	LOC107066085	50
gene-LOC107065771	LOC107065771	63
gene-LOC107065836	LOC107065836	792
gene-LOC107066119	LOC107066119	1741
gene-LOC107066185	LOC107066185	278
gene-LOC107066820	LOC107066820	343
gene-LOC107066886	LOC107066886	129
gene-LOC107066224	LOC107066224	454
gene-LOC107068719	LOC107068719	199
gene-LOC107068653	LOC107068653	179
gene-LOC107068536	LOC107068536	285
gene-LOC107068924	LOC107068924	66
gene-LOC107068591	LOC107068591	2397
gene-LOC107068979	LOC107068979	496
gene-LOC107069117	LOC107069117	12
gene-LOC107074631	LOC107074631	72
gene-LOC107074664	LOC107074664	72
gene-LOC107074651	LOC107074651	237
gene-LOC107064472	LOC107064472	322
gene-LOC107067088	LOC107067088	717
gene-LOC107067021	LOC107067021	241
gene-LOC107066963	LOC107066963	18
gene-LOC107064709	LOC107064709	274
gene-LOC107064557	LOC107064557	26
gene-LOC107064563	LOC107064563	758
gene-LOC107064574	LOC107064574	49
gene-LOC107065243	LOC107065243	77
gene-LOC107065250	LOC107065250	56
gene-LOC107065256	LOC107065256	6
gene-LOC107065263	LOC107065263	0
gene-LOC107064462	LOC107064462	9
gene-LOC107064451	LOC107064451	9
gene-LOC107064442	LOC107064442	0
gene-LOC107064838	LOC107064838	5
gene-LOC107065128	LOC107065128	1
gene-LOC107065132	LOC107065132	5
gene-LOC107064919	LOC107064919	29
gene-LOC107065690	LOC107065690	136
gene-LOC107067194	LOC107067194	564
gene-LOC107067201	LOC107067201	194
gene-LOC107067187	LOC107067187	357
gene-LOC107067205	LOC107067205	104
gene-LOC107068155	LOC107068155	851
gene-LOC107068167	LOC107068167	72
gene-LOC107065509	LOC107065509	11
gene-LOC107068177	LOC107068177	101
gene-Trnav-aac	Trnav-aac	1
gene-LOC107068605	LOC107068605	301
gene-LOC107068610	LOC107068610	4
gene-LOC107065516	LOC107065516	3
gene-LOC107068617	LOC107068617	537
gene-LOC107068702	LOC107068702	365
gene-LOC107068715	LOC107068715	100
gene-LOC107068760	LOC107068760	10
gene-LOC107068671	LOC107068671	11
gene-LOC107067701	LOC107067701	111
gene-LOC107067713	LOC107067713	3
gene-LOC107067707	LOC107067707	20
gene-LOC107065521	LOC107065521	1
gene-LOC107068277	LOC107068277	1
gene-LOC107068285	LOC107068285	14
gene-LOC107065729	LOC107065729	0
gene-LOC107065735	LOC107065735	0
gene-LOC107065527	LOC107065527	0
gene-LOC107068212	LOC107068212	185
gene-LOC107065532	LOC107065532	0
gene-LOC107068765	LOC107068765	13
gene-LOC107065536	LOC107065536	5
gene-LOC107065950	LOC107065950	0
gene-LOC107066230	LOC107066230	108
gene-LOC107066253	LOC107066253	243
gene-LOC107066268	LOC107066268	182
gene-LOC107066277	LOC107066277	5
gene-LOC107066288	LOC107066288	786
gene-LOC107066342	LOC107066342	208
gene-LOC107066317	LOC107066317	522
gene-LOC107067751	LOC107067751	189
gene-LOC107067768	LOC107067768	98
gene-LOC107068353	LOC107068353	88
gene-LOC107068364	LOC107068364	20
gene-LOC107067644	LOC107067644	154
gene-LOC107067629	LOC107067629	147
gene-LOC107067656	LOC107067656	71
gene-LOC107066847	LOC107066847	112
gene-LOC107066854	LOC107066854	56
