	SocF10	SocF11	SocF12	SocF14	SocF4	SocF5	SocF6	SocF7	SocF8	SocF9	SocR10	SocR1	SocR2	SocR3	SocR4	SocR5	SocR6	SocR7	SocR8
OG0002848	1863.53917367497	1356.15843051882	1455.91404320877	1463.33996527982	1308.06036141465	1392.08111933769	1580.47429756123	1699.92179370785	2122.94073869527	1424.66994302743	1365.21863502251	1889.26625582103	1410.21748636053	1217.00147248395	1419.86657104194	1449.57049422112	1429.04522134132	1634.68294953422	1478.73727222741
OG0002849	113.451088363527	80.2029179339087	131.894651998007	50.1783241682872	178.04154919255	142.595745670697	65.7138714278452	171.571054101783	78.5392874180987	57.6577239635824	108.851262255893	77.1350800248955	122.802664765157	133.233821334028	111.484498354424	141.614593185437	179.136688510916	78.9817530521656	90.5166451484659
OG0002850	992.697023180861	933.270317776392	966.381969446937	849.530697546816	1000.12115133162	902.055960182032	917.766611127872	902.063762976859	1015.06079041876	918.330294401784	914.554063252784	986.45989665641	1007.58579860592	921.699644601817	956.091057887537	961.395964917287	923.009378090143	927.038354006227	986.72105255902
OG0002851	660.747542413504	709.978103074033	615.085636721475	645.316587559601	705.807570013323	750.794174719193	679.414602898061	608.39306301123	511.695357420946	878.494048754218	621.571226526642	762.659523626432	888.809450718306	806.362903745495	908.821630585261	715.109715899135	655.822452853523	781.839575667902	865.733457558595
OG0002852	965.384724130382	1010.73904532619	914.385039332338	658.152903044511	1229.03171457918	1001.32150689202	585.855870695705	854.697521046919	750.883187285155	942.441706241101	724.318679684074	624.685507243872	492.217238280013	946.556700820852	686.74450986325	1281.56808864088	623.436158885448	473.092722827618	519.798556298121
OG0002853	3645.1414501985	4730.14936451121	4500.90499943199	4602.40257022616	4067.70437389918	5033.39347563581	5252.6545365037	3599.83438667545	2951.17322419522	4759.38303263025	4461.88445097521	4133.78844358771	5006.7250372286	5169.27341131051	4745.6721259511	5164.09488566275	4711.19370066844	4633.59617906038	5189.02351890711
OG0002854	4385.72494368264	3681.13165380747	2535.16739753862	4307.16731407321	4051.35361938149	4069.8874151095	3967.33576315228	3386.16000641372	3212.97084892222	3597.84197532754	3697.89101215114	3762.23636797483	4370.56697057631	4126.27133235981	4255.14033319164	4055.80676508107	4233.49586463933	4020.88924629207	4225.60378094076
OG0002855	19.9589877676575	109.367615364421	40.5829698455407	47.8444486255762	98.1045271060989	91.3873287171316	86.8759656164734	36.8404103899534	28.5597408793086	110.073836657748	128.179991067687	65.1845746689258	126.828981642703	115.336740856322	131.997646051638	113.467593297649	71.8570897416668	112.489163437933	108.440733296677
OG0002856	237.406907131084	238.785960212319	282.812571111111	134.197843705884	287.95495456142	300.16010552782	157.04501476824	344.194691357565	302.257257639349	174.02149414463	216.685222995376	149.924521738529	280.835602208842	273.427618409385	252.400904274415	293.784311328796	357.26130533533	223.382735905115	295.747454445483
OG0002857	117.652980525139	104.810631390903	97.6527711908322	42.0097597687986	277.054451549631	185.925944631406	92.4449377713755	154.729723637804	133.278790770107	96.445647357265	169.889353240506	146.665293005083	193.263210122214	223.713505971315	185.510205261761	243.647467778672	175.088401764907	134.029641543069	151.458544852384
OG0002858	114.50156140393	100.253647417386	69.751979422023	145.86722141944	109.005030117888	96.9020813121309	118.062209683925	68.4179050099135	113.04897431393	98.5422918650317	113.937769837944	112.986596092805	121.79608554577	85.5082733934803	113.268250328094	80.0430309308994	67.8088029956574	99.7244356719263	85.1394187040026
OG0002859	1158.67176356454	866.738351763036	1384.89384597907	930.049403770347	1602.37394273295	1384.99072314412	511.231643820016	1329.41252350032	784.202884977682	700.279265594055	959.315329974834	712.684683046922	935.112094810086	1274.66984291211	899.010994730072	1319.3906197401	1344.03119967512	812.155804112168	811.064988706551
OG0002860	755.290116049777	732.76302294162	908.043950293972	499.449366140161	1147.27794199077	1061.19596363773	572.49033752394	877.85435043489	712.80353277941	648.911475153772	844.360258620479	737.672103336677	829.421276774501	952.52239431342	841.930931572607	1031.76346463676	1027.25276179989	748.332165282135	725.029365595138
OG0002861	736.381601322522	630.686581934827	919.45791056303	429.43309985883	1007.38815333948	950.113089938455	346.390068034913	1104.1597285446	665.203964647229	396.265811967893	682.609317511255	521.476597351406	681.454131524681	815.311443984347	551.17935986427	927.091808804044	923.009378090143	596.751023060807	597.768339742839
OG0002862	1318.3436657058	1261.37316386965	1367.13879667165	1385.155134599	1292.61798214795	1239.24369027628	1198.44280773494	1279.94111526238	1432.74700077865	1192.99072491921	1355.04561985841	1412.33245116006	1165.6187360496	1230.92142396661	1072.03493617614	1140.83308920194	1285.33104185798	1337.10523348919	1145.34923267069
OG0002863	2109.34986512928	2030.59205859942	2315.76571681116	1758.57522143276	2091.98820301246	1846.65429752549	2162.98878496399	2059.90523237539	2252.64956185547	2259.13445711855	1735.51638699583	1875.14293130943	1683.00045481428	1840.41644245735	1834.58890492039	1991.40024206106	1778.20995318463	1972.15043984801	1890.99129963627
OG0002864	379.220767585493	385.520844159584	348.759897110115	381.588651233254	346.999345875276	371.064067463526	412.103939462758	398.929015365495	462.90580008546	444.488635646526	374.36695803896	406.317182102971	362.368518979151	342.033093573921	388.85793026023	333.366029920999	366.369950513851	460.327995061612	369.236215853148
OG0002865	663.898961534713	617.015630014275	646.791081913304	568.298694650137	579.54341012677	620.015756037781	642.659386675707	630.497309245202	805.622690637163	604.881940490673	628.692337141514	672.487528667751	615.01990304517	517.026769355928	573.476259535155	563.81959150227	565.748072754814	679.72175353985	706.209073039516
OG0002866	453.804353454108	418.33112876891	488.263855954161	333.744202607678	402.410236185202	441.180207599946	426.583267065504	512.607995997352	427.206123986324	417.23225704556	392.678385334343	474.760985505343	408.671163070931	371.861561036763	398.668566115419	429.241748288779	475.673692656104	469.901540886117	481.261766779467
OG0002867	766.84531949421	753.725149219801	523.773954569009	827.358879891061	785.744592099774	836.666750841326	913.311433403951	694.704881639121	646.164137394357	844.947736629952	845.37756013689	668.14189035649	796.204162534745	911.756822114203	915.956638479944	839.132434154704	784.355557039321	702.060027130361	957.146307114471
OG0002868	448.551988252093	765.573307550947	452.753757339313	457.439606371363	557.742404103192	565.656051887073	583.628281833744	454.715922527425	483.135616541637	754.792022795987	504.581552139467	457.378432260296	554.625149881978	620.432123227113	536.909344074904	632.427903728755	527.289348667724	613.504728253691	594.183522113197
OG0002870	251.063056656323	236.963166622912	221.9381163428	228.719803185681	214.376559231846	204.045846014975	241.693391522753	229.46312757171	249.89773269395	219.099351061613	255.342680618964	275.948032765119	220.44084904565	269.450489414339	289.859695721501	255.082186483086	270.223140296127	240.934236583374	256.314460519418
OG0002871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0002872	553.599292292395	440.204651841794	574.502666875935	505.284054996939	499.606388040319	519.174565729222	392.055639705111	530.501909615329	478.375659728419	369.009433366927	406.920606564086	420.440506614571	426.789589019889	516.032487107166	451.289249338707	463.545904402022	498.951341445658	472.294927342243	489.327606446162
OG0002873	2186.0343970787	1910.28768169855	2377.90838938715	1753.90747034734	2811.42140179052	2542.30094629469	1808.80215591221	2595.67005776072	2356.17862254296	1679.41225072107	2133.28127991222	1952.27801133433	2186.29006450754	2331.59187334548	2214.52807531227	2333.56220944699	2904.64574026174	2093.41535362508	1878.44443793252
OG0002874	2379.32143651286	2786.14000140862	2394.3952208869	2895.17261073304	2444.43780039363	2474.54827155612	2741.04809464283	2250.42278324915	1793.31372937992	2495.00696424229	2441.52363938452	2206.49785254314	2747.96126892523	3277.15429191757	2562.35971017807	2768.08152021473	2609.12080780306	2332.7539992377	2234.23758767451
OG0002875	361.362725898641	278.887419179273	329.736629995018	347.747455863944	308.847585334015	288.342778538536	373.121134378443	411.560013213479	385.556501870666	313.448353911111	328.5883898005	356.342341523461	344.250093030193	328.113142091262	378.155418418205	305.21903003321	360.297520394837	276.037237939892	363.858989408685
OG0002876	27.3122990504787	30.0760942252158	19.0232671150972	4.66775108542207	8.17537725884158	29.9372283728535	8.91035544784342	19.9990799259747	29.7497300826131	28.3047008548495	34.5882515579473	51.0612501573252	42.2763272142343	15.9085159801824	41.0262953944279	19.3510624228548	24.2897204760564	16.7537051928836	13.4430661111583
