	SocR10	SocR1	SocR2	SocR3	SocR4	SocR5	SocR6	SocR7	SocR8	SocF10	SocF11	SocF12	SocF14	SocF4	SocF5	SocF6	SocF7	SocF8	SocF9
Lflavo2a012298	600.674407003828	525.680927417634	549.762707017787	511.151093354427	465.940548178976	595.820596991719	553.097660049546	466.382094961858	446.645970860518	490.020136324039	497.91256891891	604.254528685462	439.916502385879	563.77948502971	627.344557324128	493.153304189776	480.188043755855	297.76025305487	426.717822290749
Lflavo2a012336	97.4066605952153	148.324908980909	144.200054299747	133.896175505844	138.886124937964	104.182503231211	73.4815562722916	145.594410434062	138.956524267717	122.76512969477	146.714569110544	132.021997864051	174.306538681197	104.272694723363	136.58054938053	194.064957667273	148.384288199234	128.989259420531	161.635538746496
Lflavo2a012310	460.652332398206	506.049689464279	475.659901335972	436.87292300082	533.143511858636	426.201149582227	417.057481545439	496.780927909629	537.779795217917	422.395276746411	505.248297374438	406.221531889386	634.380940098235	363.187097722901	465.299837720109	546.806557191905	369.930274052258	460.503711202268	503.225310630757
Lflavo2a012330	113.641104027751	110.15305740494	125.173658246308	132.918831159086	167.559389441286	128.290851086367	141.998142526185	143.194502569764	129.933373341242	104.038245504042	174.223550818772	129.483113289742	237.151753307751	116.644031385457	103.399963937802	171.233786177006	106.135983920286	143.455344589188	149.782265905086
Lflavo2a012349	1544.30143151998	1852.97073793062	1620.24783234022	1612.61817215068	1282.23254700791	1574.79172239574	2017.76381547698	1683.9353514489	1797.41166455384	1744.72137710279	1427.71615065699	1806.41637462061	1401.56686204881	1839.79449503426	1687.58000844756	1309.36768496684	2044.40574852278	1725.08065636242	1233.81794576492
Lflavo2a012253	58.8498574429426	56.712465198583	39.0541813728482	52.7765947249313	22.40098789322	57.6878323676954	47.6637121766216	62.3976044717409	29.7763980573679	60.3421823923444	37.595608334577	33.0054994660126	39.130039295779	57.4383487882933	55.5581895785205	23.9727300647808	91.7097336786934	53.042312285078	19.3962646495795
Lflavo2a012256	116.685062171352	137.418665673489	80.1111412776374	132.918831159086	77.9554378684057	142.067049860742	148.949100551942	99.196191724306	79.403728152981	112.361305144366	99.9493002065584	90.1304023879576	77.0743198250192	197.941386593503	127.320851117443	57.0779287256686	187.541253140699	120.550709738814	62.4990749819783
Lflavo2a012340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03044644582802	1.20550709738814	0
Lflavo2a012346	1.01465271453349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lflavo2a012296	0	1.09062433074198	0	0	0	0	1.98598800735923	0	0	0	0	0	0	0	0.771641521923896	0	0	1.20550709738814	0
