	SRR2915407	SRR2916026	SRR2916025	SRR2916648	SRR2916653	SRR2916652	SRR2916631	SRR2916637	SRR2916647	SRR2916699	SRR2917198	SRR2917152
Caust.v2_007557	5.4166784444031	6.24657984672148	4.14537179145084	16.966307523755	13.0717650304118	8.70521826612346	21.4134622292025	7.67186843548804	7.28798062938791	11.6613631964049	5.82309655470979	0.895283882224556
Caust.v2_007558	3.6111189629354	17.8473709906328	17.9632777629537	21.8138239591136	22.0156042617462	16.1668339228007	25.3789181975734	11.5078026532321	19.4346150117011	4.37301119865184	8.73464483206468	7.16227105779645
Caust.v2_007559	1.8055594814677	0.89236854953164	0	1.21187910883965	2.06396289953871	1.24360260944621	0.793091193674168	0.958983554436005	2.42932687646264	1.45767039955061	0	2.68585164667367
Caust.v2_007560	101.111330962191	99.0529089980121	92.5799700090688	93.9206309350725	94.9422933787806	113.167837459605	157.032056347485	133.298714066605	91.5046456800926	100.579257568992	91.2285126904534	86.8425365757819
Caust.v2_007561	22127.1314453867	20042.5976224806	18973.3666894705	15865.3153533742	15945.4893742029	18147.8928796485	25209.9897733208	27872.8570096825	18348.7058979223	23178.4170232543	21131.0468809494	17049.7862530844
Caust.v2_007562	99.3057714807235	87.4521178541007	98.10713239767	79.3780816289968	83.9344912479075	70.8853487384339	143.549506055024	140.970582502093	162.764900722997	132.648006359106	162.076187439422	151.30297609595
Caust.v2_016823	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016824	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016825	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016826	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016827	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016828	0	0.89236854953164	0	0	0	0	0	0	0	0	0	0
Caust.v2_016829	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016830	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017121	0	0.89236854953164	0	0	0	0	0	0	0	0	0.970516092451632	0
Caust.v2_017122	9.0277974073385	3.56947419812656	1.38179059715028	3.02969777209911	2.75195053271828	6.21801304723104	3.17236477469667	0.958983554436005	0	0	1.94103218490326	0.895283882224556
Caust.v2_017123	23.4722732590801	11.6007911439113	13.8179059715028	20.601944850274	14.447740296771	8.70521826612346	16.6549150671575	12.4667862076681	1.61955125097509	8.74602239730367	7.76412873961305	0.895283882224556
Caust.v2_017124	126.389163702739	88.3444864036324	66.3259486632135	95.738449598332	86.6864417806258	105.706221802928	90.4123960788552	39.3183257318762	21.8639418881637	24.7803967923604	21.3513540339359	8.057554940021
Caust.v2_017125	3244.59038819746	2327.29717717852	2197.04704946895	1659.06250000147	2087.35447906681	1989.76417511393	3384.91321460135	4288.57445543781	3673.1422372115	4273.88961148239	4647.80156675086	4312.58246067569
Caust.v2_017126	23.4722732590801	8.03131694578476	13.8179059715028	9.69503287071717	13.0717650304118	14.9232313133545	26.9651005849217	23.0156053064641	47.7767619037652	45.187782386069	58.2309655470979	92.2142398691293
Caust.v2_020392	0	0	0	0	0	0	0	0	0	1.45767039955061	0	0
Caust.v2_022668	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_018663	1.8055594814677	0.89236854953164	1.38179059715028	3.02969777209911	3.43993816589785	0	3.17236477469667	0.958983554436005	0.809775625487545	0	1.94103218490326	0.895283882224556
Caust.v2_022299	0	0.89236854953164	0	0	0	0	0	0	0	0	0	0
Caust.v2_018320	0	0	0	0	0	0	0	0	0.809775625487545	0	0	0
Caust.v2_018321	5.4166784444031	3.56947419812656	1.38179059715028	3.02969777209911	2.75195053271828	2.48720521889242	3.96545596837084	2.87695066330801	2.42932687646264	4.37301119865184	0.970516092451632	1.79056776444911
Caust.v2_018322	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_018323	0	0	0	0	0.68798763317957	0	0.793091193674168	0	0	0	0	0
Caust.v2_020924	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_022360	0	1.78473709906328	1.38179059715028	1.81781866325947	2.06396289953871	1.24360260944621	2.3792735810225	1.91796710887201	1.61955125097509	2.91534079910122	1.94103218490326	5.37170329334734
Caust.v2_021182	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_022730	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020570	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020571	0	0	0	0	0	0	0	0.958983554436005	0	0	0	0
Caust.v2_008604	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008605	0	0	0	0	0.68798763317957	0	0	0.958983554436005	0	0	0	0
Caust.v2_008606	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008607	1.8055594814677	6.24657984672148	15.1996965686531	14.5425493060757	12.3837773972323	7.46161565667725	3.96545596837084	7.67186843548804	18.6248393862135	8.74602239730367	10.6756770169679	3.58113552889822
Caust.v2_008608	0	0	0	1.21187910883965	0	0	0.793091193674168	0	0	0	0	0
Caust.v2_008609	0	0	0	0	0.68798763317957	0	0	0	0.809775625487545	0	0	0
Caust.v2_008610	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008611	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008612	0	0	0	0	0	0	0	0	0	0	0	0.895283882224556
Caust.v2_008613	25.2778327405478	43.7260589270504	46.9808803031096	55.7464390066237	57.1029735539043	36.0644756739401	37.2752861026859	42.1952763951842	52.6354156566904	53.9338047833726	45.6142563452267	41.1830585823296
Caust.v2_008614	193.194864517044	118.685017087708	135.415478520728	179.964047662687	178.876784626688	106.949824412374	164.962968284227	159.191270036377	128.75432445252	109.325279966296	85.4054161357436	75.2038461068627
Caust.v2_008615	223.889375701995	236.477665625885	232.140820321247	208.443206720419	220.844030250642	258.669342764811	224.44480780979	242.622839272309	216.210092005175	188.039481542029	242.629023112908	230.983241613935
Caust.v2_008616	83.0557361475142	43.7260589270504	55.2716238860112	67.8652300950202	59.166936453443	60.9365278628642	73.7574810116976	35.4823915141322	45.3474350273025	30.6110783905629	46.5847724376783	81.4708332824346
Caust.v2_008617	1950.00423998512	1683.00708441667	1667.82125076039	1245.20578433274	1402.11879641996	1515.95158091493	1543.35546288993	1720.41649665819	1556.38875218706	1518.89255633174	1616.87981002442	1785.19606115576
Caust.v2_008618	1231.39156636097	1052.99488844734	1120.63217428888	875.582656136644	975.56646384863	1132.9219772055	1028.6392781954	1002.13781438562	928.812642434214	860.025535734861	1024.86499362892	1079.71236196281
Caust.v2_008619	3.6111189629354	10.7084225943797	2.76358119430056	5.4534559897784	7.56786396497527	7.46161565667725	7.13782074306751	4.79491777218002	5.66842937841282	10.2036927968543	2.91154827735489	2.68585164667367
Caust.v2_008620	1.8055594814677	0	0	0	0.68798763317957	1.24360260944621	0.793091193674168	0	0	0	0	0.895283882224556
Caust.v2_008621	5.4166784444031	7.13894839625312	16.5814871658034	8.48315376187752	6.8798763317957	11.1924234850159	15.0687326798092	16.3027204254121	16.1955125097509	11.6613631964049	9.70516092451632	14.3245421155929
Caust.v2_008622	3.6111189629354	3.56947419812656	1.38179059715028	6.66533509861805	2.06396289953871	3.73080782833863	4.75854716204501	1.91796710887201	19.4346150117011	5.83068159820245	12.6167092018712	9.84812270447012
Caust.v2_008623	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008624	1.8055594814677	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008625	0	0	0	0	1.37597526635914	0	0.793091193674168	0	0.809775625487545	0	0	1.79056776444911
Caust.v2_008626	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008627	0	0	0	0	0	0	0	0	0	1.45767039955061	0	0
Caust.v2_008628	1.8055594814677	11.6007911439113	5.52716238860112	12.7247306428163	19.263653729028	4.97441043778483	11.1032767114384	9.58983554436005	24.2932687646264	13.1190335959555	12.6167092018712	8.057554940021
Caust.v2_008629	0	0	1.38179059715028	0	1.37597526635914	0	0	0	0	0	0	0
Caust.v2_008630	1.8055594814677	0.89236854953164	0	4.84751643535858	1.37597526635914	3.73080782833863	5.55163835571918	3.83593421774402	3.23910250195018	4.37301119865184	0.970516092451632	4.47641941112278
Caust.v2_008631	0	2.67710564859492	1.38179059715028	1.81781866325947	2.75195053271828	2.48720521889242	3.96545596837084	5.75390132661603	4.85865375292527	4.37301119865184	8.73464483206468	6.26698717557189
Caust.v2_008632	0	1.78473709906328	0	3.02969777209911	2.06396289953871	0	3.17236477469667	4.79491777218002	2.42932687646264	0	4.85258046225816	0.895283882224556
Caust.v2_008633	0	0	0	1.21187910883965	0.68798763317957	0	1.58618238734834	3.83593421774402	4.04887812743773	0	0	1.79056776444911
Caust.v2_020399	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020400	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016147	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016148	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016149	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016150	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016151	0	0.89236854953164	0	0.605939554419823	1.37597526635914	0	0	3.83593421774402	0.809775625487545	1.45767039955061	0.970516092451632	0.895283882224556
Caust.v2_016152	0	0.89236854953164	0	1.81781866325947	2.06396289953871	0	0	0	0.809775625487545	0	0.970516092451632	0.895283882224556
Caust.v2_016153	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016154	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_018642	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_018643	0	0	0	0.605939554419823	0	0	0.793091193674168	0	0	0	0.970516092451632	0
Caust.v2_018644	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020094	0	0	0	1.21187910883965	0	0	0.793091193674168	0	0	2.91534079910122	0	1.79056776444911
Caust.v2_020095	61.3890223699018	90.1292235026957	103.634294786271	107.251301132309	104.574120243295	89.539387880127	76.9298457863943	96.8573389980365	149.808490715196	80.1718719752837	117.432447186647	106.538781984722
Caust.v2_020096	0	0.89236854953164	0	1.21187910883965	0.68798763317957	0	0.793091193674168	0	0.809775625487545	0	0	0
Caust.v2_016157	0	0.89236854953164	0	5.4534559897784	8.25585159815484	1.24360260944621	0	0.958983554436005	0.809775625487545	1.45767039955061	0	0
Caust.v2_016158	111.944687850997	76.7436952597211	214.177542558294	108.463180241148	191.26056202392	90.7829904895732	0.793091193674168	93.9803883347285	299.616981430392	78.714201575733	189.250638028068	0
Caust.v2_016159	1.8055594814677	0	0	0	0	0	0	0	0	0	0	0
