Orthogroup	Ceratina_australensis	Ceratina_calcarata	Megalopta_genalis	TALLY
OG0003472	0	0	1	1
OG0003486	0	0	1	1
OG0003487	0	1	0	1
OG0003488	0	1	0	1
OG0003490	0	1	0	1
OG0003497	1	0	0	1
OG0003502	1	0	0	1
OG0003533	1	0	0	1
OG0003540	0	1	0	1
OG0003542	0	0	1	1
OG0003548	1	0	0	1
OG0003554	1	0	0	1
OG0003560	1	0	0	1
OG0003564	1	0	0	1
OG0003566	1	0	0	1
OG0003572	1	0	0	1
OG0003586	1	0	0	1
OG0003590	1	0	0	1
OG0003594	0	1	0	1
OG0003606	1	0	0	1
OG0003638	0	1	0	1
OG0003641	1	0	0	1
OG0003658	1	0	0	1
OG0003663	0	0	1	1
OG0003664	0	1	0	1
OG0003667	0	0	1	1
OG0003670	0	1	0	1
OG0003672	0	0	1	1
OG0003698	1	0	0	1
OG0003701	1	0	0	1
OG0003710	0	1	0	1
OG0003712	1	0	0	1
OG0003729	1	0	0	1
OG0003737	0	1	0	1
OG0003748	1	0	0	1
OG0003760	0	1	0	1
OG0003763	1	0	0	1
OG0003766	0	0	1	1
OG0003775	1	0	0	1
OG0003777	1	0	0	1
OG0003783	1	0	0	1
OG0003790	0	0	1	1
OG0003793	1	0	0	1
OG0003804	1	0	0	1
OG0003810	0	1	0	1
OG0003813	0	0	1	1
OG0003817	0	0	1	1
OG0003836	1	0	0	1
OG0003839	0	1	0	1
OG0003853	1	0	0	1
OG0003858	0	0	1	1
OG0003859	0	1	0	1
OG0003867	0	1	0	1
OG0003875	0	0	1	1
OG0003880	1	0	0	1
OG0003887	0	1	0	1
OG0003891	0	0	1	1
OG0003896	0	1	0	1
OG0003900	0	0	1	1
OG0003908	0	0	1	1
OG0003912	1	0	0	1
OG0003915	0	0	1	1
OG0003916	1	0	0	1
OG0003919	0	0	1	1
OG0003931	1	0	0	1
OG0003952	0	1	0	1
OG0003954	1	0	0	1
OG0003966	0	0	1	1
OG0003972	0	1	0	1
OG0003973	1	0	0	1
OG0003977	1	0	0	1
OG0003987	1	0	0	1
OG0003996	1	0	0	1
OG0003997	1	0	0	1
OG0004005	0	1	0	1
OG0004017	0	1	0	1
OG0004018	0	1	0	1
OG0004024	1	0	0	1
OG0004030	1	0	0	1
OG0004034	1	0	0	1
OG0004040	1	0	0	1
OG0004042	1	0	0	1
OG0004065	0	0	1	1
OG0004076	1	0	0	1
OG0004078	1	0	0	1
OG0004092	0	0	1	1
OG0004099	1	0	0	1
OG0004100	0	1	0	1
OG0004101	0	1	0	1
OG0004105	1	0	0	1
OG0004113	1	0	0	1
OG0004117	1	0	0	1
OG0004118	0	0	1	1
OG0004119	0	0	1	1
OG0004128	1	0	0	1
OG0004133	1	0	0	1
OG0004137	0	1	0	1
OG0004149	1	0	0	1
OG0004160	1	0	0	1
OG0004164	0	1	0	1
OG0004166	0	1	0	1
OG0004169	0	0	1	1
OG0004171	0	1	0	1
OG0004174	1	0	0	1
OG0004183	0	1	0	1
OG0004189	1	0	0	1
OG0004193	0	0	1	1
OG0004194	0	0	1	1
OG0004198	0	1	0	1
OG0004205	1	0	0	1
OG0004206	1	0	0	1
OG0004207	0	1	0	1
OG0004227	0	1	0	1
OG0004259	1	0	0	1
OG0004264	1	0	0	1
OG0004269	1	0	0	1
OG0004274	1	0	0	1
OG0004275	1	0	0	1
OG0004278	0	1	0	1
OG0004282	1	0	0	1
OG0004299	1	0	0	1
OG0004310	1	0	0	1
OG0004314	1	0	0	1
OG0004317	0	0	1	1
OG0004321	0	1	0	1
OG0004325	1	0	0	1
OG0004330	1	0	0	1
OG0004340	0	1	0	1
OG0004341	1	0	0	1
OG0004342	1	0	0	1
OG0004343	0	1	0	1
OG0004344	0	1	0	1
OG0004346	1	0	0	1
OG0004373	0	0	1	1
OG0004389	0	1	0	1
OG0004421	1	0	0	1
OG0004425	1	0	0	1
OG0004452	1	0	0	1
