	SocF10	SocF11	SocF12	SocF14	SocF4	SocF5	SocF6	SocF7	SocF8	SocF9	SocR10	SocR1	SocR2	SocR3	SocR4	SocR5	SocR6	SocR7	SocR8
OG0003713	179.390818337842	315.355980252358	184.654013210812	157.036228947234	175.242728046131	198.55710807331	196.647892826235	159.19067914674	233.633424922503	221.179789836124	176.070256441696	225.653943573503	254.574019498486	206.534047162993	220.217441912741	158.701958449203	196.929674048254	190.296911184972	269.178983249719
OG0003716	148.788855209622	137.50987511004	145.176258662294	131.862482322105	134.114332688365	141.161694020868	180.641668991541	152.947907415496	193.267440511809	181.835307990275	124.165151941543	122.092954976968	154.741070675551	141.930980277886	138.193131564675	138.864213643053	130.291855052127	164.021605456503	127.926645504817
OG0003717	691.182270654628	635.295623008383	579.431558695998	672.498659842735	549.868764022298	514.231885361735	564.791041024185	666.936113287978	763.284068856765	519.985178989734	481.394400560244	573.400842123973	512.143027461661	487.459504678534	514.435076856888	477.830896635101	550.010655296385	656.882643211722	535.692828051421
OG0003722	498.07333091448	551.872965441626	460.998295050442	534.642428324171	397.872520308817	478.553655004812	613.953014230744	453.64141247045	517.418527446173	581.660312694038	479.358906266121	523.255521329861	491.178108208844	488.438339025278	491.254293497652	405.380002560465	361.037735755132	502.415694383754	437.082705474791
OG0003723	1610.2964046091	1509.85842870824	1199.61434789369	1547.5860425258	1436.81155086802	1414.71939502233	1711.52264860973	1352.60054176969	1500.88069308854	1487.64675952278	1585.65005512233	1602.4700340727	1539.42407084967	1545.57943350885	1350.72641497086	1307.56613591844	1379.50231265115	1581.2956720224	1431.17934658514
OG0003724	898.009331797081	759.971243108153	867.237124114229	912.248627701108	787.698180656333	687.969354925881	708.847055536427	763.699075122271	722.918084446071	701.820486980009	769.416843178742	723.836804506308	763.722058495459	807.538336063836	732.869381588149	821.972643489623	812.58355402739	683.157948940191	764.894734580884
OG0003726	952.881817406304	957.98546326661	883.792311505544	770.796146664668	1170.3710765938	1110.67882328508	875.769104098231	985.317471581459	824.444651297211	908.113175577163	1019.78264135595	1013.80757257661	1145.08392299907	1165.79170697216	1092.1715236563	1235.97775248754	1106.98347078639	963.427876710526	1168.21901971413
OG0003729	1039.41150625162	1117.49691839426	863.416696254695	807.957391682716	1626.35980773424	1195.99633066033	858.619578561059	1312.0225255166	1500.88069308854	1550.38525760129	1399.40232721001	1694.03975030542	1023.28772543509	1373.30458848189	1466.63033176704	1576.66945676708	1124.88616842715	1453.90025030861	1296.14566521894
OG0003732	328.179673547465	316.272712753091	258.515618495137	282.90496207288	270.016856479242	328.084596543008	339.560605635998	270.520108353938	288.677949118905	377.494352845308	330.767822795094	327.034700831163	325.455413162771	299.523310103677	350.386456160757	319.991448829643	334.183689294006	359.892066341453	399.770767202553
OG0003734	2078.82301250323	2228.57670928338	2576.24185327913	2529.36216090583	2017.07956363302	2202.74291768828	2232.86822493974	1999.76787790873	2162.63819509417	2253.26910895551	2005.97962685886	2050.50757421139	2203.31318052219	2004.6527421318	2129.95736327748	2051.0503108272	2003.11294713729	2020.80987693497	1894.9134365401
