Orthogroup	Ceratina_australensis	Ceratina_calcarata	Megalopta_genalis	Polistes_canadensis	Polistes_dominula	Liostenogaster_flavolineata	Tally
OG0000625	0	0	0	0	0	1	1
OG0000635	0	0	1	0	0	0	1
OG0000650	0	0	0	0	1	0	1
OG0000658	0	0	0	0	1	0	1
OG0000676	1	0	0	0	0	0	1
OG0000688	1	0	0	0	0	0	1
OG0000706	1	0	0	0	0	0	1
OG0000712	1	0	0	0	0	0	1
OG0000718	0	1	0	0	0	0	1
OG0000731	1	0	0	0	0	0	1
OG0000740	0	0	0	0	1	0	1
OG0000747	0	0	0	1	0	0	1
OG0000766	0	0	0	0	1	0	1
OG0000767	0	0	0	0	1	0	1
OG0000771	0	1	0	0	0	0	1
OG0000777	0	1	0	0	0	0	1
OG0000785	0	1	0	0	0	0	1
OG0000799	0	0	0	0	1	0	1
OG0000803	0	0	0	0	1	0	1
OG0000863	1	0	0	0	0	0	1
OG0000882	0	1	0	0	0	0	1
OG0000887	0	0	0	0	0	1	1
OG0000900	1	0	0	0	0	0	1
OG0000906	1	0	0	0	0	0	1
OG0000909	0	0	0	0	0	1	1
OG0000914	0	0	0	0	1	0	1
OG0000916	0	1	0	0	0	0	1
OG0000930	0	0	1	0	0	0	1
OG0000936	1	0	0	0	0	0	1
OG0000948	0	0	0	0	1	0	1
OG0000949	1	0	0	0	0	0	1
OG0000960	0	0	0	0	1	0	1
OG0000975	0	0	0	0	1	0	1
OG0000980	1	0	0	0	0	0	1
OG0000986	0	0	0	0	1	0	1
OG0000992	1	0	0	0	0	0	1
OG0000993	0	1	0	0	0	0	1
OG0000994	1	0	0	0	0	0	1
OG0001003	0	0	0	0	0	1	1
OG0001018	0	0	1	0	0	0	1
OG0001036	0	0	0	0	1	0	1
OG0001038	0	1	0	0	0	0	1
OG0001045	1	0	0	0	0	0	1
OG0001049	0	0	0	0	1	0	1
OG0001050	0	1	0	0	0	0	1
OG0001054	1	0	0	0	0	0	1
OG0001060	0	0	0	0	1	0	1
OG0001069	0	0	0	0	1	0	1
OG0001074	0	0	0	0	1	0	1
OG0001078	0	0	0	0	0	1	1
OG0001080	0	0	0	0	1	0	1
OG0001083	0	0	0	0	1	0	1
OG0001092	0	0	0	0	1	0	1
OG0001099	1	0	0	0	0	0	1
OG0001112	0	1	0	0	0	0	1
OG0001116	1	0	0	0	0	0	1
OG0001133	0	0	0	0	1	0	1
OG0001146	0	0	0	0	1	0	1
OG0001162	1	0	0	0	0	0	1
OG0001169	1	0	0	0	0	0	1
OG0001181	0	1	0	0	0	0	1
OG0001194	0	1	0	0	0	0	1
OG0001195	1	0	0	0	0	0	1
OG0001196	1	0	0	0	0	0	1
OG0001198	0	1	0	0	0	0	1
OG0001200	1	0	0	0	0	0	1
OG0001207	0	0	0	0	0	1	1
OG0001210	0	1	0	0	0	0	1
OG0001215	1	0	0	0	0	0	1
OG0001223	0	0	0	1	0	0	1
OG0001226	0	0	1	0	0	0	1
OG0001230	1	0	0	0	0	0	1
OG0001235	0	0	0	0	1	0	1
OG0001251	0	0	0	0	1	0	1
OG0001266	0	1	0	0	0	0	1
OG0001267	1	0	0	0	0	0	1
OG0001285	0	0	0	0	1	0	1
OG0001294	0	0	0	0	1	0	1
OG0001309	0	0	1	0	0	0	1
OG0001312	0	0	0	0	1	0	1
OG0001324	0	0	0	0	0	1	1
OG0001325	0	1	0	0	0	0	1
OG0001330	0	1	0	0	0	0	1
OG0001338	0	0	1	0	0	0	1
OG0001355	0	0	1	0	0	0	1
OG0001361	0	0	0	0	1	0	1
OG0001372	0	1	0	0	0	0	1
OG0001379	1	0	0	0	0	0	1
OG0001382	1	0	0	0	0	0	1
OG0001383	1	0	0	0	0	0	1
OG0001396	0	0	1	0	0	0	1
OG0001400	1	0	0	0	0	0	1
OG0001403	0	0	1	0	0	0	1
OG0001409	0	0	0	0	0	1	1
OG0001424	0	0	0	0	1	0	1
OG0001427	0	0	0	0	1	0	1
OG0001430	0	1	0	0	0	0	1
OG0001432	0	0	1	0	0	0	1
OG0001435	0	0	0	0	1	0	1
OG0001439	0	1	0	0	0	0	1
OG0001443	0	1	0	0	0	0	1
