Geneid	gene_name	PO_Q1_1Aligned.sortedByCoord.out.bam	PO_Q3_1Aligned.sortedByCoord.out.bam	PO_W1_1Aligned.sortedByCoord.out.bam	PO_Q4_1Aligned.sortedByCoord.out.bam	PO_W2_1Aligned.sortedByCoord.out.bam	PO_Q5_1Aligned.sortedByCoord.out.bam	PO_W5_1Aligned.sortedByCoord.out.bam	PO_W4_1Aligned.sortedByCoord.out.bam	PO_Q2_1Aligned.sortedByCoord.out.bam	PO_W3_1Aligned.sortedByCoord.out.bam
Polyb2a006082	NA	1675	2139	2130	2204	1934	1815	2053	2275	2460	1859
Polyb2a006053	NA	17653	24163	13673	29878	18078	22804	15100	21139	26080	12972
Polyb2a006080	NA	1606	2421	1005	3077	3705	2565	1444	2376	2659	1382
Polyb2a006085	NA	430	523	425	554	533	442	538	591	595	450
Polyb2a006007	NA	400	473	343	491	449	431	299	440	443	293
Polyb2a006049	NA	338	395	408	331	544	334	297	591	666	403
Polyb2a006003	NA	25	28	24	26	30	30	7	31	45	16
Polyb2a006081	NA	118	167	95	177	150	126	121	172	177	168
Polyb2a006028	NA	4100	5471	3973	6386	3672	5271	4233	4227	5493	4347
Polyb2a006034	NA	291	448	299	499	377	364	336	372	452	332
Polyb2a006039	NA	11	5	11	8	14	8	3	14	16	3
Polyb2a006090	NA	179	141	120	172	235	135	72	199	324	108
Polyb2a006032	NA	189	279	107	295	158	250	159	145	264	172
Polyb2a006023	NA	594	534	336	573	638	532	247	691	832	414
Polyb2a006002	NA	0	0	3	1	0	1	2	0	2	1
Polyb2a005997	NA	0	1	0	0	3	0	0	0	0	0
Polyb2a006043	NA	248	244	136	314	239	254	70	242	348	160
Polyb2a006065	NA	115	88	46	108	106	101	16	109	171	52
Polyb2a006025	NA	559	707	494	767	607	641	427	700	761	578
Polyb2a006061	NA	222	268	243	354	271	285	250	289	313	233
Polyb2a006033	NA	529	692	524	753	584	600	526	692	714	643
Polyb2a006027	NA	957	1057	787	1088	1019	996	773	1260	1384	936
Polyb2a006031	NA	261	308	219	372	281	289	224	359	369	225
Polyb2a006029	NA	98	145	120	140	115	143	108	151	171	168
Polyb2a006020	NA	1229	1306	995	1667	1291	1255	1087	1363	1673	963
Polyb2a006056	NA	655	542	584	549	752	619	551	922	1004	658
Polyb2a006024	NA	318	518	356	648	458	494	377	512	575	394
Polyb2a006037	NA	120	127	65	173	116	112	35	178	216	102
Polyb2a006022	NA	984	1130	495	1285	901	1022	378	1115	1808	854
Polyb2a006045	NA	177	235	216	231	209	197	247	224	294	277
Polyb2a006066	NA	448	592	504	620	504	495	403	661	737	485
Polyb2a006078	NA	135	237	151	296	199	242	146	234	282	188
Polyb2a006014	NA	49	74	46	110	87	82	35	77	104	62
Polyb2a006013	NA	124	67	77	109	111	102	62	182	208	131
Polyb2a006072	NA	2115	2960	2038	4457	2356	3170	3965	3175	3140	3553
Polyb2a005999	NA	361	391	240	442	302	384	284	432	543	230
Polyb2a006006	NA	43	35	19	42	38	34	18	35	46	49
Polyb2a006054	NA	1	1	3	3	2	1	1	2	4	3
Polyb2a006055	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a006057	NA	1	0	2	0	2	2	0	1	1	0
Polyb2a006011	NA	125	142	47	168	146	132	21	78	212	41
Polyb2a006000	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a006064	NA	0	0	1	0	0	2	0	2	0	0
Polyb2a006073	NA	0	1	0	0	0	0	0	0	0	0
Polyb2a006047	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a006015	NA	249	317	244	307	354	312	250	376	379	250
Polyb2a008611	NA	401	408	263	516	511	378	132	495	757	265
Polyb2a008620	NA	422	573	407	546	495	485	384	574	686	417
Polyb2a008618	NA	1220	1106	904	1158	1261	1054	878	1550	1758	1097
Polyb2a008645	NA	563	728	479	883	600	629	392	707	864	457
Polyb2a008608	NA	601	785	640	873	763	862	504	820	930	671
Polyb2a008609	NA	1116	1225	839	1339	1096	1151	851	1444	1664	1077
Polyb2a008621	NA	115	167	78	268	108	197	100	115	183	95
Polyb2a008623	NA	292	333	277	333	345	323	315	355	402	310
Polyb2a008647	NA	3317	4162	2697	5146	3983	3980	2578	4468	4924	3199
Polyb2a008644	NA	563	705	299	885	490	666	282	526	860	326
Polyb2a008626	NA	366	485	328	485	457	478	334	544	581	384
Polyb2a008636	NA	589	609	450	680	652	595	418	711	815	596
Polyb2a008616	NA	326	524	343	594	492	487	360	520	568	414
Polyb2a008639	NA	637	800	751	1014	768	840	806	875	836	727
Polyb2a008617	NA	1229	1454	921	1635	1356	1348	689	1622	2062	1115
Polyb2a008613	NA	304	377	301	464	389	404	385	418	441	384
Polyb2a008635	NA	101	113	59	111	111	119	44	105	154	66
Polyb2a008627	NA	112	89	37	138	91	86	18	134	194	63
Polyb2a008632	NA	744	823	362	929	782	771	320	872	1172	490
Polyb2a008624	NA	449	1014	174	1296	345	1047	162	463	788	229
Polyb2a008629	NA	1847	2129	1235	2454	2082	2102	976	2154	3004	1528
Polyb2a008615	NA	1105	1518	1630	1466	1516	1458	2360	2117	1880	1808
Polyb2a008612	NA	1737	1069	1163	904	1774	789	773	1878	2456	1138
Polyb2a008625	NA	1322	784	893	1034	1344	930	637	855	1366	668
Polyb2a008634	NA	4957	6189	2599	7780	5760	6963	1780	6689	9503	3857
Polyb2a008637	NA	599	437	194	641	706	545	108	776	1162	387
Polyb2a008633	NA	23	25	30	68	40	22	28	31	25	18
Polyb2a008646	NA	1	4	4	4	4	9	1	8	8	0
Polyb2a008640	NA	54	41	155	46	31	30	254	56	70	100
Polyb2a008619	NA	7	10	5	2	2	2	0	5	3	2
Polyb2a008641	NA	0	0	0	0	1	1	0	0	0	0
Polyb2a008642	NA	13221	17414	11021	21653	12376	16996	10345	13692	18453	12037
Polyb2a008610	NA	362	560	304	601	406	521	344	501	586	322
Polyb2a008649	NA	0	0	0	1	0	0	0	0	0	0
Polyb2a008622	NA	2	1	0	1	0	6	0	0	0	0
Polyb2a008614	NA	5	5	0	8	7	1	2	4	4	0
Polyb2a008628	NA	253	337	236	390	360	305	206	402	475	293
Polyb2a008650	NA	358	368	210	415	437	390	237	508	616	296
Polyb2a008631	NA	750	842	597	1101	933	775	550	886	1078	640
Polyb2a008643	NA	229	191	222	206	336	217	230	309	280	204
Polyb2a008630	NA	0	0	0	0	0	0	0	1	0	0
Polyb2a011933	NA	68	43	28	72	79	52	11	70	93	69
Polyb2a011929	NA	0	0	0	2	0	0	1	0	0	0
Polyb2a011932	NA	141	199	182	190	164	185	170	216	242	173
Polyb2a011937	NA	343	440	404	521	419	366	381	456	493	434
Polyb2a011930	NA	5	2	4	5	3	1	1	7	1	3
Polyb2a011931	NA	1053	883	2216	1329	2124	916	2163	2133	1892	3609
Polyb2a011934	NA	3	0	1	2	3	1	0	3	2	3
Polyb2a011936	NA	1823	1587	1107	1553	1717	1309	790	2148	2717	1622
Polyb2a011935	NA	1	2	0	0	0	4	0	0	2	1
Polyb2a004306	NA	1	0	0	2	0	0	0	0	0	0
Polyb2a004314	NA	162	196	194	180	215	177	198	231	226	256
Polyb2a004324	NA	2918	4269	1813	4418	3689	3509	1830	3482	5018	1976
Polyb2a004320	NA	3	6	5	9	9	6	1	16	15	4
Polyb2a004319	NA	24	27	16	28	35	22	16	29	34	19
Polyb2a004311	NA	672	1216	620	1919	1069	1255	601	1028	1296	741
Polyb2a004316	NA	672	826	599	880	689	770	617	877	955	759
Polyb2a004312	NA	0	0	0	1	4	0	0	2	2	0
Polyb2a004315	NA	1	0	0	0	1	0	0	1	2	1
Polyb2a004310	NA	293	316	88	512	275	332	38	260	540	104
Polyb2a004304	NA	86	107	42	172	96	123	21	101	185	20
Polyb2a004323	NA	10683	11371	9971	11970	15718	10607	9353	14539	17268	10787
Polyb2a004307	NA	304	299	208	362	325	306	217	411	413	240
Polyb2a004318	NA	139	170	147	216	247	184	177	297	266	210
Polyb2a004317	NA	106	109	64	130	115	89	36	148	138	61
Polyb2a004308	NA	149	166	162	170	157	158	118	166	156	168
Polyb2a004322	NA	443	471	354	498	443	430	317	506	557	348
Polyb2a004305	NA	620	596	492	802	735	633	443	488	794	533
Polyb2a004309	NA	14	17	10	7	2	16	9	4	10	6
Polyb2a004321	NA	107	94	59	87	95	112	24	107	194	75
Polyb2a004313	NA	3	3	1	4	3	4	0	7	10	3
Polyb2a011424	NA	11	14	10	6	15	8	11	8	25	19
Polyb2a011421	NA	2	5	3	1	2	5	0	0	4	7
Polyb2a011428	NA	1714	1930	1152	2550	1954	1910	1105	1970	2730	1525
Polyb2a011425	NA	651	765	674	845	723	662	785	898	810	834
Polyb2a011427	NA	1345	1463	1157	1908	1442	1471	1316	1609	1821	1263
Polyb2a011422	NA	564	681	367	751	549	553	253	574	739	387
Polyb2a011426	NA	179	187	125	212	158	190	124	229	231	166
Polyb2a011423	NA	34	44	34	49	30	70	56	72	74	54
Polyb2a000111	NA	6	10	13	8	11	2	11	14	8	6
Polyb2a002574	NA	0	0	0	0	0	0	0	0	0	0
Polyb2a006511	NA	2418	3265	1418	4464	3176	3216	1628	2746	5218	1936
Polyb2a006505	NA	422	487	436	484	521	470	445	602	633	479
Polyb2a006488	NA	763	838	730	845	998	808	593	1138	1401	671
Polyb2a006478	NA	142	165	136	231	172	161	106	198	231	154
Polyb2a006504	NA	770	989	694	1127	794	944	617	876	1129	772
Polyb2a006526	NA	585	705	487	802	646	684	517	743	787	648
Polyb2a006522	NA	453	500	322	537	463	439	266	483	586	318
Polyb2a006469	NA	365	405	275	394	423	358	314	427	634	362
Polyb2a006491	NA	16	32	17	28	21	27	16	31	27	19
Polyb2a006486	NA	0	0	0	3	0	1	0	0	0	0
Polyb2a006517	NA	7	1	0	5	3	2	0	4	2	0
Polyb2a006479	NA	0	0	0	1	0	0	0	0	0	1
Polyb2a006502	NA	2	5	1	5	2	4	1	3	8	4
Polyb2a006481	NA	2	3	1	2	1	1	1	2	2	2
Polyb2a006462	NA	131	145	95	126	126	125	87	148	161	125
Polyb2a006457	NA	507	586	540	731	622	562	678	718	672	535
Polyb2a006456	NA	320	524	335	537	405	476	369	453	520	346
Polyb2a006506	NA	11	15	16	7	19	6	9	18	19	22
Polyb2a006534	NA	3	10	1	3	4	4	2	4	5	4
Polyb2a006508	NA	26	6	24	14	21	11	9	19	39	15
Polyb2a006480	NA	605	794	473	798	597	727	407	798	969	596
Polyb2a006463	NA	225	253	226	258	284	241	275	295	316	276
Polyb2a006493	NA	859	1067	866	1272	1079	1069	1048	1298	1288	965
Polyb2a006496	NA	1376	1705	1043	2052	1595	1670	907	1693	2080	988
