	SRR2917198	SRR2917152	SRR2916699	SRR2916026	SRR2916025	SRR2915407	SRR13281988	SRR13281982	SRR13281995	SRR13282007	SRR13281993	SRR13282006	SRR3948522	SRR3948580	SRR3948532	SRR3948545	SRR3948559	SRR3948571	SRR3948576	SRR3948549	SRR3948582	SRR3948523	SRR3948530	SRR3948535	SRR3948538	SRR3948546	SRR3948551	SRR3948569
OG0000551	604.994682806858	444.750978505291	631.777219231308	465.466156007076	539.068353401104	381.172149641201	656.243534468257	1232.66538204574	1114.02969036735	707.96692660244	1814.36890540649	1331.92250775909	1810.91083854676	1686.68442137529	2152.4761126671	1886.90456624622	2455.372650082	2057.72784358217	1618.14411337808	2158.92727425947	1652.58482080086	2355.05773120624	1804.2616129095	3068.00435221825	1966.48981252537	2689.90957352964	2207.99571523146	1638.97106475938
OG0000555	74.9873072552423	100.449987357114	109.874298996749	81.8480243743329	92.194788811054	84.229051793374	3652.8537958036	1570.46815057232	1686.77941818334	2453.00361629504	2395.17015090759	2167.84687919317	639.193268340699	580.186287450959	639.238656689144	606.989855328949	539.445087801779	641.878014926251	554.353242640118	643.421142582117	507.797507368777	600.497057368258	445.05119785101	667.858485023869	557.840987634748	610.040375123161	569.933912054331	538.650602743953
OG0000559	150.702646619759	137.166189632473	132.565730311295	126.686507292446	134.495927206714	124.202161119043	0	94.4169228800993	42.1210704310994	25.6345852017923	26.246120423519	18.7939985757418	260.928702608912	185.659611984307	203.255534718329	125.082574021461	230.515939445944	133.07227138715	171.38852917445	364.889116776248	366.044846301168	230.386082400611	167.194909462947	254.332568344774	237.784737534955	240.536053949569	303.898327231767	191.059829178411
OG0000564	558.400627813309	547.279241462897	546.982923266425	408.528399920583	494.597925856948	512.51236599697	235.212736368551	188.833845760199	144.276769982386	304.222209674212	172.716405367673	349.731799583369	677.758202374091	680.475631424625	568.099219537729	1096.65419549048	482.760840397039	1801.36802664517	1824.9923382438	383.13357261506	403.725933420405	99.1940077002629	333.186977850621	336.284173700312	373.231739928285	99.2850946089709	405.529898961736	1194.69941377826
OG0000565	2519.719130198	2834.76791907111	2517.55459005595	2362.91687758944	2502.27503278943	2555.42377474813	703.286081741967	1049.07692088999	949.418610521677	778.085056713225	617.207154475656	701.914990285312	1931.52882371503	1966.00267690525	2217.51788377697	2142.88750842968	2270.20410855985	2126.22092444321	2484.54267810134	1961.88715120029	1851.75628128826	1865.48730610494	2156.69404796449	1951.7669689273	1915.32094495456	1946.80670047693	2208.9921031896	2205.24477533636
OG0000577	407.69798119355	412.884085964413	441.885767704318	437.708999914911	459.889299481022	408.296759540762	428.087180190763	377.667691520397	335.516112744274	386.403673997604	380.992070663985	389.771187853427	446.368598173736	414.418776750685	546.757388392304	416.941913404869	525.274025950594	520.54741454385	478.705891832084	406.243216677556	335.541109109404	484.237413934617	499.179046238295	469.102292724805	523.728409254206	461.624512047896	473.284280115048	515.631346216434
OG0000580	203.848990596775	231.381350188111	218.554312134838	177.218765819208	214.759625701043	114.208883787626	190.522316458526	364.029691548827	325.83310804747	168.886678976514	246.37487236271	213.271027316026	186.260426076173	222.957301891869	262.199639786644	198.774633134879	357.110758649864	249.510508850906	206.848224865716	223.798658289432	188.405435596189	220.786662300585	206.888664946956	291.069494883463	284.940360590411	297.855283826913	255.075317283057	225.58871396969
OG0000582	334.894770266131	419.811671299387	352.314328304794	369.38369261112	317.800860254574	336.916207173496	18.8170189094841	7.34353844622994	9.68300469680445	9.80145904774411	10.1597885510396	10.6226948471584	149.336553065478	148.361922076745	211.385756107062	92.1150738917734	164.384317473747	124.266018133588	164.296590036197	232.312737680878	188.405435596189	200.521219867198	165.992068387674	275.997935277847	163.539714000834	224.15913112747	200.273979585525	116.247245463973
OG0000589	40.769798119355	81.7455069526858	63.2971505089968	19.9282146302724	17.3543131879631	37.1178872309784	25.8734010005406	48.2575383609396	10.6513051664849	5.65468791216006	11.8530866428795	17.1597378300251	5.74371357944145	3.31535021400548	4.06511069436658	1.93926471351102	1.88947491349135	3.91389033491617	0	2.43259411184165	0	6.39961340001696	3.608523225819	2.82591742605304	0	0	2.98916387441083	2.30192565275194
OG0000590	37.1296375729841	39.4872364093482	58.5200070743556	49.1088146245997	45.5550721184031	64.2424971305395	585.679713557692	27.2759999431398	17.9135586890882	112.716779049057	242.988276179031	209.185375451734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000601	1402.1898424621	1334.94569404937	1337.60016169956	1738.02500454018	1736.51596337056	1496.1363776179	284.607411005947	440.612306773797	404.749596326426	458.406700079109	433.484311511023	455.141617682094	708.938361805345	639.862591303058	623.994491585269	669.046326161301	529.052975777577	645.791905261168	602.814826751514	610.581122072255	590.337031534726	617.562693101637	566.538146453583	609.456191552106	506.672120063935	668.383162676886	654.626888495971	549.009268181337
