Geneid	gene_name	SRR2954866_1Aligned.sortedByCoord.out.bam	SRR2915407_1Aligned.sortedByCoord.out.bam
Caust.v2_018964	NA	0	0
Caust.v2_018965	NA	0	0
Caust.v2_020090	NA	0	0
Caust.v2_020091	NA	0	0
Caust.v2_016385	NA	0	0
Caust.v2_016386	NA	1	2
Caust.v2_016387	NA	0	0
Caust.v2_016388	NA	0	0
Caust.v2_016389	NA	0	0
Caust.v2_016390	NA	0	0
Caust.v2_016391	NA	0	0
Caust.v2_016187	NA	0	0
Caust.v2_016188	NA	0	0
Caust.v2_016189	NA	0	0
Caust.v2_016190	NA	1	2
Caust.v2_016191	NA	1	1
Caust.v2_016192	NA	1	1
Caust.v2_016193	NA	0	0
Caust.v2_016194	NA	0	0
Caust.v2_016195	NA	0	0
Caust.v2_020811	NA	0	0
Caust.v2_020812	NA	0	0
Caust.v2_016264	NA	0	0
Caust.v2_016265	NA	0	0
Caust.v2_016266	NA	0	0
Caust.v2_016267	NA	0	0
Caust.v2_016268	NA	0	0
Caust.v2_016269	NA	0	0
Caust.v2_016270	NA	1	0
Caust.v2_016271	NA	0	0
Caust.v2_016272	NA	0	0
Caust.v2_016273	NA	3	3
Caust.v2_016274	NA	0	0
Caust.v2_016275	NA	0	0
Caust.v2_021643	NA	0	0
Caust.v2_022702	NA	0	0
Caust.v2_021012	NA	0	0
Caust.v2_017973	NA	0	0
Caust.v2_017974	NA	0	0
Caust.v2_017975	NA	0	0
Caust.v2_017976	NA	0	0
Caust.v2_017977	NA	0	0
Caust.v2_019909	NA	0	0
Caust.v2_019910	NA	0	0
Caust.v2_019911	NA	0	0
Caust.v2_021196	NA	0	0
Caust.v2_022040	NA	0	0
Caust.v2_020780	NA	0	0
Caust.v2_008457	NA	0	0
Caust.v2_008458	NA	37	26
Caust.v2_008459	NA	0	0
Caust.v2_008460	NA	0	2
Caust.v2_008461	NA	1	0
Caust.v2_008462	NA	22	24
Caust.v2_008463	NA	2	0
Caust.v2_008464	NA	883	845
Caust.v2_008465	NA	2	0
Caust.v2_008466	NA	106	90
Caust.v2_008467	NA	12	6
Caust.v2_008468	NA	5	10
Caust.v2_008469	NA	537	571
Caust.v2_008470	NA	673	719
Caust.v2_008471	NA	178	211
Caust.v2_008472	NA	0	0
Caust.v2_008473	NA	14	17
Caust.v2_008474	NA	0	0
Caust.v2_008475	NA	3	0
Caust.v2_008476	NA	1750	1762
Caust.v2_008477	NA	0	0
Caust.v2_008478	NA	1	0
Caust.v2_008479	NA	8	9
Caust.v2_008480	NA	1	0
Caust.v2_008481	NA	0	1
Caust.v2_008482	NA	0	0
Caust.v2_008483	NA	2613	2657
Caust.v2_008484	NA	0	0
Caust.v2_008485	NA	3	3
Caust.v2_008486	NA	536	534
Caust.v2_008487	NA	654	597
Caust.v2_008488	NA	8	7
Caust.v2_008489	NA	1	2
Caust.v2_008490	NA	597	558
Caust.v2_008491	NA	21	14
Caust.v2_008492	NA	2	3
Caust.v2_013155	NA	0	0
Caust.v2_013156	NA	0	0
Caust.v2_013157	NA	0	0
Caust.v2_013158	NA	0	0
Caust.v2_013159	NA	146	161
Caust.v2_013160	NA	113	121
Caust.v2_013161	NA	0	2
Caust.v2_013162	NA	98	110
Caust.v2_013163	NA	42	41
Caust.v2_013164	NA	0	0
Caust.v2_013165	NA	0	0
Caust.v2_013166	NA	0	0
Caust.v2_013167	NA	0	0
Caust.v2_022550	NA	0	0
Caust.v2_015781	NA	0	0
Caust.v2_015782	NA	1149	1252
Caust.v2_015783	NA	5	1
Caust.v2_015784	NA	6	3
Caust.v2_015785	NA	615	633
Caust.v2_015786	NA	5	5
Caust.v2_015787	NA	8	13
Caust.v2_015788	NA	0	0
Caust.v2_015789	NA	0	2
Caust.v2_015790	NA	3	9
Caust.v2_021423	NA	0	0
Caust.v2_021100	NA	0	0
Caust.v2_013560	NA	0	0
Caust.v2_013561	NA	0	0
Caust.v2_013562	NA	0	0
Caust.v2_013563	NA	0	2
Caust.v2_013564	NA	8	10
Caust.v2_013565	NA	0	0
Caust.v2_013566	NA	0	0
Caust.v2_013567	NA	0	0
Caust.v2_013568	NA	0	0
Caust.v2_013569	NA	0	0
Caust.v2_013570	NA	0	0
Caust.v2_013571	NA	0	0
Caust.v2_013572	NA	0	0
Caust.v2_013573	NA	0	0
Caust.v2_013574	NA	0	0
Caust.v2_013575	NA	0	0
Caust.v2_013576	NA	0	0
Caust.v2_004522	NA	56	48
Caust.v2_004523	NA	16	14
Caust.v2_004524	NA	6	6
Caust.v2_004525	NA	2	2
Caust.v2_004526	NA	0	0
Caust.v2_004527	NA	2	0
Caust.v2_004528	NA	23	18
Caust.v2_004529	NA	1	2
Caust.v2_004530	NA	2	2
Caust.v2_004531	NA	0	1
Caust.v2_004532	NA	0	2
Caust.v2_004533	NA	728	701
Caust.v2_004534	NA	1	1
Caust.v2_004535	NA	25	28
Caust.v2_004536	NA	15	19
Caust.v2_004537	NA	1	2
Caust.v2_004538	NA	100	105
Caust.v2_004539	NA	23	24
Caust.v2_004540	NA	3625	3673
Caust.v2_004541	NA	125	126
Caust.v2_004542	NA	2	1
Caust.v2_004543	NA	385	360
Caust.v2_004544	NA	3	3
Caust.v2_004545	NA	6	10
Caust.v2_004546	NA	3	4
Caust.v2_004547	NA	22	27
Caust.v2_004548	NA	1	0
Caust.v2_004549	NA	1	1
Caust.v2_004550	NA	0	0
Caust.v2_004551	NA	0	1
Caust.v2_004552	NA	3	0
Caust.v2_004553	NA	0	0
Caust.v2_004554	NA	5	1
Caust.v2_004555	NA	1	3
Caust.v2_004556	NA	2	4
Caust.v2_004557	NA	0	0
Caust.v2_004558	NA	2	0
Caust.v2_004559	NA	0	0
Caust.v2_004560	NA	0	0
Caust.v2_004561	NA	1	0
Caust.v2_004562	NA	3	1
Caust.v2_004563	NA	380	377
Caust.v2_004564	NA	416	402
Caust.v2_004565	NA	370	390
Caust.v2_004566	NA	0	0
Caust.v2_004567	NA	7	2
Caust.v2_004568	NA	3	1
Caust.v2_004569	NA	0	0
Caust.v2_004570	NA	0	1
Caust.v2_004571	NA	0	0
Caust.v2_022287	NA	0	0
Caust.v2_019761	NA	0	0
Caust.v2_019762	NA	0	0
Caust.v2_021459	NA	0	0
Caust.v2_020851	NA	0	1
Caust.v2_017178	NA	0	1
Caust.v2_017179	NA	2	2
Caust.v2_017180	NA	0	0
Caust.v2_017181	NA	0	0
Caust.v2_017182	NA	0	0
Caust.v2_019428	NA	0	0
Caust.v2_019429	NA	0	3
Caust.v2_015408	NA	0	0
Caust.v2_015409	NA	0	0
Caust.v2_015410	NA	0	6
Caust.v2_015411	NA	0	0
Caust.v2_015412	NA	0	0
Caust.v2_015413	NA	0	1
Caust.v2_015414	NA	0	0
Caust.v2_015415	NA	37	20
Caust.v2_015416	NA	5	1
Caust.v2_015417	NA	0	0
Caust.v2_022186	NA	0	0
Caust.v2_019427	NA	0	0
Caust.v2_022454	NA	0	0
Caust.v2_017746	NA	0	0
Caust.v2_017747	NA	2	2
Caust.v2_017748	NA	0	0
Caust.v2_017749	NA	16	14
Caust.v2_017750	NA	24	17
Caust.v2_017751	NA	0	0
Caust.v2_021262	NA	0	0
Caust.v2_020182	NA	0	0
Caust.v2_020183	NA	0	0
Caust.v2_020184	NA	0	0
Caust.v2_022571	NA	0	0
Caust.v2_021748	NA	0	0
Caust.v2_022183	NA	0	0
Caust.v2_018520	NA	0	0
