	F03BL	F14GR	F38BL	F42OR	F45OR	F47RD	F48SL	F51RD	F65ORWH	F67YLBL	F69OR	F71BL	W01RDYL	W08RDOR	W09RDOR	W13YLSL	W28ORYL	W40GROR	W46ORYL	W49RDYL	W54ORYL	W56YLBL	W58BLWH	W70RDYL
OG0001420	460.064739241107	726.3954224261	609.625660565954	683.61527285953	714.830909846983	698.506461756123	602.947061406499	816.138660700917	763.614941065043	655.88617232203	570.045431503754	663.248468683612	725.437827678412	838.543493131355	591.572529890829	828.111141575286	752.716450435048	795.49887038705	780.97113508331	770.638726199761	618.721624619618	614.414038497539	730.891394492646	707.341852645347
OG0001421	592.891829310718	476.792507286697	443.007714752108	508.502000994035	404.599013329233	442.492781202974	428.22370860361	437.796235210426	488.665536184705	454.07504237679	570.045431503754	464.994850327098	495.125303981024	480.361154222196	459.215238073508	429.893762019957	473.832297935732	456.801805326552	573.461788981331	477.355645257452	508.602240449007	566.208681753716	536.476117663987	565.688314092025
OG0001422	445.574511233513	421.777987215155	477.311409478488	479.316455683119	521.378320383443	471.992299949839	485.791518486643	423.74351654935	423.83030533956	440.797994354077	445.877119691055	502.843268376978	419.597715238156	410.395507846354	547.991470390004	386.904385817961	467.514533963255	392.381037908705	417.06311925915	403.374327542275	471.27363564541	539.246363574968	284.286489702284	374.039408990471
OG0001423	4.83007600253131	3.05636222619678	2.94031669083258	0	4.71835584057415	2.10710848191892	4.03984630758123	3.24293507563278	3.60195726917473	3.98311440681395	2.2576056693218	1.80230562142286	0	3.13279013623171	4.03528328711343	2.26259874747346	5.41522626212265	0	0	0	7.46572096071937	4.08519972405278	0	7.40672097010834
OG0001424	489.045195256295	527.73187772331	521.416159840977	501.766875153054	823.353094180188	756.451945008894	472.662017987004	516.707655384157	312.169629995143	651.903057915216	444.748316856395	421.739515412949	319.826702948195	478.272627464708	520.551544037633	252.656860134536	324.011038017005	316.247403687613	290.308641837251	281.833591295913	435.811461081993	303.938859469527	228.346244954415	311.08228074455
OG0001426	247.541395129729	310.730159663339	265.608607738543	249.199656116282	234.738203068564	237.049704215879	246.430624762455	269.163611277521	291.758538803153	213.760473165682	259.624651972007	219.881285813589	225.650326861408	270.464215094671	242.116997226806	287.350040929129	267.151162264717	248.898419568954	269.864371285332	315.301330262302	248.235221943919	232.039344326198	255.857840732055	276.826196257799
OG0001427	653.267779342359	897.55170709312	711.556639181484	823.930394546626	925.977333712676	951.359479586394	970.57307539639	852.891924891422	800.835166179849	908.15008475358	889.496633712789	891.240129793604	1119.85968000228	1018.15679427531	909.552852915367	1071.71760671993	972.935651761369	1072.70338473051	1014.03581937519	880.729972799727	1039.60164378017	818.674024700178	977.578703298821	926.765961384807
OG0001428	475.762486249334	255.715639591797	322.454730427973	285.120327268178	277.203405633731	244.424583902595	342.376974567509	327.536442638911	338.583983302425	289.439646895147	339.769653232931	287.467746616946	285.326446361946	323.72164741061	320.401492996806	266.232452619377	373.650612086463	328.936342724461	353.685880548201	432.438416644666	428.345740121274	482.870607383039	434.683213286718	390.704531173215
OG0001430	286.18200314998	84.5593549247775	136.234673341909	177.358313812489	122.677251854928	130.640725878973	129.275081842599	170.794580649993	122.466547151941	74.3514689271937	164.805213860491	123.457935067466	113.7576027979	155.595243432842	507.63863751887	101.816943636306	138.088269684128	281.108803277878	130.843331532282	161.17358502235	169.845151856366	486.955807107092	120.13396822903	240.718431528521
OG0001431	333.27524417466	539.957326628097	425.365814607113	545.545193119428	592.153657992055	607.900797033609	579.717945137906	395.638079227199	392.613342340046	544.358968931239	513.60528977071	549.703214533972	519.368727528118	653.708875093684	526.200940639591	426.122764107501	519.861721163774	592.475845797472	401.729916345211	407.777977406274	478.739356606129	407.702932460468	324.636830176156	513.841267301266
