Geneid	gene_name	SRR2916631_1Aligned.sortedByCoord.out.bam	SRR2917152_1Aligned.sortedByCoord.out.bam	SRR2916652_1Aligned.sortedByCoord.out.bam	SRR2915407_1Aligned.sortedByCoord.out.bam	SRR2916026_1Aligned.sortedByCoord.out.bam	SRR2916025_1Aligned.sortedByCoord.out.bam	SRR2916647_1Aligned.sortedByCoord.out.bam	SRR2916699_1Aligned.sortedByCoord.out.bam	SRR2917198_1Aligned.sortedByCoord.out.bam	SRR2916637_1Aligned.sortedByCoord.out.bam	SRR2916648_1Aligned.sortedByCoord.out.bam	SRR2916653_1Aligned.sortedByCoord.out.bam
Caust.v2_013508	NA	0	1	1	0	0	0	1	0	0	0	0	0
Caust.v2_013509	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013510	NA	0	0	0	0	0	0	0	0	0	1	0	0
Caust.v2_013511	NA	0	0	1	0	2	0	1	1	0	2	2	1
Caust.v2_021812	NA	0	0	0	0	0	0	0	0	0	1	0	0
Caust.v2_018962	NA	14	7	1	4	4	11	22	4	15	11	19	28
Caust.v2_018963	NA	1	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_018964	NA	0	0	0	0	0	0	0	0	0	0	0	1
Caust.v2_018965	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020090	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020091	NA	0	1	0	0	0	0	2	2	1	2	4	0
Caust.v2_016385	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016386	NA	1	1	0	2	0	0	0	0	2	0	0	1
Caust.v2_016387	NA	0	0	0	0	0	0	0	0	0	0	0	1
Caust.v2_016388	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016389	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016390	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016391	NA	0	0	1	0	0	0	0	0	0	0	0	0
Caust.v2_016187	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016188	NA	0	0	0	0	0	1	0	0	0	0	0	0
Caust.v2_016189	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016190	NA	1	1	4	2	3	1	0	0	0	1	0	3
Caust.v2_016191	NA	3	0	5	1	2	1	3	0	0	1	3	2
Caust.v2_016192	NA	1	0	0	1	0	0	1	0	0	1	0	0
Caust.v2_016193	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016194	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016195	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020811	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020812	NA	0	0	0	0	0	0	0	0	0	0	0	1
Caust.v2_016264	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016265	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016266	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016267	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016268	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016269	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016270	NA	0	1	0	0	0	0	1	0	0	0	1	0
Caust.v2_016271	NA	1	1	0	0	1	0	0	0	0	1	0	1
Caust.v2_016272	NA	0	0	0	0	1	0	0	0	0	0	0	1
Caust.v2_016273	NA	22	1	3	3	0	1	3	5	3	5	19	11
Caust.v2_016274	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_016275	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021643	NA	0	0	0	0	0	0	0	0	0	0	2	1
Caust.v2_022702	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021012	NA	0	0	0	0	1	0	0	0	0	0	2	0
Caust.v2_017973	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017974	NA	0	0	0	0	0	1	1	0	0	0	0	0
Caust.v2_017975	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017976	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017977	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019909	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019910	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019911	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021196	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_022040	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020780	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008457	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008458	NA	50	184	50	26	66	34	155	71	101	73	102	71
Caust.v2_008459	NA	1	3	0	0	1	0	0	2	2	5	6	0
Caust.v2_008460	NA	1	1	2	2	0	1	3	0	0	2	1	5
Caust.v2_008461	NA	7	2	6	0	10	5	0	3	3	0	15	11
Caust.v2_008462	NA	52	70	49	24	66	42	96	41	55	37	140	71
Caust.v2_008463	NA	18	7	1	0	2	2	2	4	4	5	14	8
Caust.v2_008464	NA	1602	1906	1323	845	1599	961	1597	1055	1471	1284	2175	1840
Caust.v2_008465	NA	6	1	2	0	0	1	8	2	1	4	9	3
Caust.v2_008466	NA	174	187	150	90	187	106	126	99	152	162	218	199
Caust.v2_008467	NA	68	19	13	6	24	8	23	33	23	32	91	72
Caust.v2_008468	NA	18	24	11	10	23	11	36	11	24	23	20	24
Caust.v2_008469	NA	1043	1135	671	571	1056	636	1084	629	949	900	1222	1149
Caust.v2_008470	NA	1302	1314	979	719	1377	886	1312	713	1190	1119	1661	1722
Caust.v2_008471	NA	427	293	280	211	377	272	332	180	301	368	546	456
Caust.v2_008472	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008473	NA	20	32	14	17	27	13	8	7	15	21	24	23
Caust.v2_008474	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008475	NA	12	3	4	0	2	2	6	4	1	7	11	6
Caust.v2_008476	NA	2349	2942	2352	1762	2659	1909	2511	1394	2233	2358	3006	3223
Caust.v2_008477	NA	0	0	0	0	0	0	0	0	0	0	1	0
Caust.v2_008478	NA	0	0	0	0	0	0	1	0	1	1	1	1
Caust.v2_008479	NA	10	71	7	9	14	4	18	9	21	17	20	22
Caust.v2_008480	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_008481	NA	0	2	0	1	1	1	3	1	1	0	1	1
Caust.v2_008482	NA	0	1	0	0	0	1	1	0	0	1	3	0
Caust.v2_008483	NA	4669	5235	3114	2657	4214	2757	4833	2788	4399	4195	5551	4812
Caust.v2_008484	NA	0	0	0	0	0	0	0	0	0	1	1	0
Caust.v2_008485	NA	32	8	5	3	4	3	2	6	4	11	46	17
Caust.v2_008486	NA	981	793	635	534	937	552	811	482	708	731	1071	999
Caust.v2_008487	NA	1652	1332	869	597	1454	902	1451	795	1417	1540	1913	1637
Caust.v2_008488	NA	21	13	7	7	15	9	14	15	6	19	28	22
Caust.v2_008489	NA	3	2	0	2	1	0	2	0	0	0	0	2
Caust.v2_008490	NA	1500	1663	567	558	818	653	1544	779	1305	1353	830	918
Caust.v2_008491	NA	47	57	37	14	43	38	65	30	50	50	94	65
Caust.v2_008492	NA	6	10	3	3	3	2	4	4	4	5	4	10
Caust.v2_013155	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013156	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013157	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_013158	NA	1	0	0	0	0	1	0	0	0	0	0	0
