,F91_AB,F99_AB,F95_AB,K70.FD,W46.FD,K86.FD
Ccalc.v2_000043,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000044,12.5587497742159,11.3666634783859,10.8999903482415,12.0222479280506,12.2121797794059,12.4404875703052
Ccalc.v2_000045,4.63623659398936,4.49326649910399,4.42304117991898,4.20990304190169,4.75443616533987,4.89785212471559
Ccalc.v2_000046,7.86739717586167,7.62582661471575,7.74378132172779,8.85792314151854,8.13798410912029,8.94112521029453
Ccalc.v2_000047,6.13717457728211,7.23757990745895,7.61291496758048,5.33182855972957,5.39757121916194,5.56811922840112
Ccalc.v2_000048,3.43206671026667,3.43206671026667,4.13953855301922,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000049,3.43206671026667,3.91516116237677,3.93480485110319,3.72911007037435,3.43206671026667,3.43206671026667
Ccalc.v2_000050,12.6202795501022,12.2324254082897,12.3338712454775,13.0934095346985,12.5787402588441,12.0453709198128
Ccalc.v2_000051,4.14051246390383,4.54269537518013,4.29435475319598,4.48166327927954,4.6906627112233,4.64498135058582
Ccalc.v2_000052,3.43206671026667,4.02237576871225,3.43206671026667,3.85141405483716,3.43206671026667,3.43206671026667
Ccalc.v2_000053,7.47247841557448,6.92371977369839,6.95322586052665,6.56595642538774,6.43195121085374,6.37279776033142
Ccalc.v2_000054,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000055,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000056,9.06031543018734,10.3195563724399,10.3300393032096,9.64422375950272,11.858965489976,10.7694259051492
Ccalc.v2_000057,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000058,4.63623659398936,3.77446014578627,3.43206671026667,3.94476796041082,4.17378481709011,3.87193261766169
Ccalc.v2_000059,4.81023447513599,4.02237576871225,4.13953855301922,4.26221679171865,4.54944120989684,4.05176811201316
Ccalc.v2_000060,13.5125819630689,12.4409314669792,13.0157384079956,13.4908510192344,13.7179294896769,15.3032285779308
Ccalc.v2_000061,13.7574115794656,13.1489045091706,13.1623279154303,14.1042842463829,13.4532952281165,14.5846617958942
Ccalc.v2_000062,3.43206671026667,3.91516116237677,3.93480485110319,3.94476796041082,3.43206671026667,4.05176811201316
Ccalc.v2_000063,7.40600717148684,7.61233925189222,7.74378132172779,7.98828811246805,7.83372278889234,7.79622129388184
Ccalc.v2_000064,5.21055466786295,5.29999977181773,5.46272579690079,4.31111055609277,6.98441494424793,4.05176811201316
Ccalc.v2_000065,3.43206671026667,3.77446014578627,3.43206671026667,3.72911007037435,4.03986400675142,3.43206671026667
Ccalc.v2_000066,4.42438029853639,3.91516116237677,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000067,10.914948285724,9.72141936743465,9.61235940369452,10.3517471336756,10.0267225715732,10.1116925175457
Ccalc.v2_000068,6.52381599622692,5.19926361583632,4.95781641137162,4.62471990576708,4.92555089202488,4.18820683026486
Ccalc.v2_000069,4.42438029853639,4.44097469836058,4.42304117991898,4.689004078645,4.87144823041411,4.89785212471559
Ccalc.v2_000070,6.4367390042021,8.44305280093649,8.23149904152619,9.12570848876348,9.18075201204648,8.78775352215122
Ccalc.v2_000071,9.60895652091411,9.43985832816035,9.33018674719435,10.7315449397664,9.85863888766176,10.1937043599792
Ccalc.v2_000072,5.89380484509855,6.93101689115698,6.47777900193493,7.00140398383387,6.34690821656874,6.45957690492063
Ccalc.v2_000073,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000074,4.42438029853639,6.1422742164559,5.98735641839447,5.77657963721481,6.57310536136393,6.63345474759694
Ccalc.v2_000075,3.43206671026667,3.43206671026667,3.43206671026667,3.72911007037435,3.43206671026667,3.43206671026667
Ccalc.v2_000076,4.63623659398936,4.32572593755761,3.43206671026667,4.26221679171865,4.6226017553273,4.40113003311734
Ccalc.v2_000077,5.75347900050259,7.15916760046548,7.3208042093436,6.69450073071645,7.006554837841,7.16107894445773
Ccalc.v2_000078,3.43206671026667,4.63438618672518,4.88565466453658,4.48166327927954,3.86342117844263,4.77898555413853
Ccalc.v2_000079,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000080,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000081,3.43206671026667,4.02237576871225,4.13953855301922,3.94476796041082,4.03986400675142,3.43206671026667
Ccalc.v2_000082,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000083,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000084,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000085,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.86342117844263,3.43206671026667
Ccalc.v2_000086,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000087,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000088,3.43206671026667,3.43206671026667,3.43206671026667,3.72911007037435,3.43206671026667,3.43206671026667
Ccalc.v2_000089,4.42438029853639,3.91516116237677,3.93480485110319,3.94476796041082,3.86342117844263,3.87193261766169
Ccalc.v2_000090,3.43206671026667,3.77446014578627,3.43206671026667,3.43206671026667,4.17378481709011,4.05176811201316
Ccalc.v2_000091,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000092,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000093,4.42438029853639,3.43206671026667,3.43206671026667,4.20990304190169,3.43206671026667,3.43206671026667
Ccalc.v2_000094,4.81023447513599,5.29999977181773,4.72520181460848,5.64450754326752,5.28594318615587,5.43143285581008
Ccalc.v2_000095,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000096,7.04692895846919,5.54135588548282,5.59401984087875,5.71218829070181,5.02652836222529,5.2782599569741
Ccalc.v2_000097,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000098,9.35180445762253,6.92371977369839,6.38795546872525,7.42608200593752,6.7548373288403,7.63633830704005
Ccalc.v2_000099,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000100,3.43206671026667,3.91516116237677,3.43206671026667,3.85141405483716,3.86342117844263,3.43206671026667
Ccalc.v2_000101,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000102,4.42438029853639,4.71824634095322,4.88565466453658,4.20990304190169,4.47007069325194,4.18820683026486
Ccalc.v2_000103,4.14051246390383,4.26126498875189,3.43206671026667,3.94476796041082,4.03986400675142,3.43206671026667
Ccalc.v2_000104,4.81023447513599,4.38533942133473,4.29435475319598,3.72911007037435,3.86342117844263,4.30197175114552
Ccalc.v2_000105,3.43206671026667,3.43206671026667,3.93480485110319,3.43206671026667,3.43206671026667,3.43206671026667
Ccalc.v2_000106,4.14051246390383,4.19070873202364,4.13953855301922,3.43206671026667,4.03986400675142,4.30197175114552
Ccalc.v2_000107,12.4506674501807,10.4861014380729,10.4833514827933,10.4497395268641,10.5629094386452,10.6690669065191
Ccalc.v2_000108,5.21055466786295,6.00819601023262,6.68000062799525,6.72646727407371,6.61717087892956,6.13935987140576
Ccalc.v2_000109,8.52797525743642,8.75819766582981,8.59508079021576,9.19065748980644,9.32989652775731,9.19626117657639
Ccalc.v2_000110,8.50704957495254,8.11101521769831,8.25673000906206,8.15352487439925,8.23439785780925,8.05442845657965
