	F91_AB	F99_AB	F95_AB	K70.FD	W46.FD	K86.FD
Ccalc.v2_000041	0	0	1.32397555011316	0	0	1.01113292121649
Ccalc.v2_000042	804.583931727217	917.411663989922	998.277564785321	1513.44467472877	1198.58980862364	2074.84475433623
Ccalc.v2_000043	0	0	0	0	0	0
Ccalc.v2_000044	6011.80865158554	2619.08203408042	1889.31311001148	4138.09569437369	4723.3964964333	5536.96387658149
Ccalc.v2_000045	7.96617754185363	6.1079338481353	5.29590220045263	3.2142332290963	9.72092302208952	12.1335950545979
Ccalc.v2_000046	212.431401116097	176.51928821111	193.300430316521	442.645833264119	260.520736991999	470.176808365667
Ccalc.v2_000047	50.452457765073	130.098990965282	174.764772614937	21.5812802525037	23.3302152530149	28.3117217940617
Ccalc.v2_000048	0	0	2.64795110022632	0	0	0
Ccalc.v2_000049	0	1.22158676962706	1.32397555011316	0.459176175585186	0	0
Ccalc.v2_000050	6274.69251046671	4790.45251709252	5140.99706108939	8718.37804583592	6095.99082715234	4205.30181933937
Ccalc.v2_000051	2.65539251395121	6.71872723294883	3.97192665033948	5.96929028260741	8.74883071988057	8.0890633697319
Ccalc.v2_000052	0	1.83238015444059	0	0.918352351170371	0	0
Ccalc.v2_000053	156.668158323121	100.780908494232	103.270092908826	74.3865404448001	66.1022765502088	62.6902411154223
Ccalc.v2_000054	0	0	0	0	0	0
Ccalc.v2_000055	0	0	0	0	0	0
Ccalc.v2_000056	512.490755192584	1256.40199256143	1265.72062590818	778.762793792475	3692.97865609181	1723.98163067411
Ccalc.v2_000057	0	0	0	0	0	0
Ccalc.v2_000058	7.96617754185363	0.61079338481353	0	1.37752852675556	2.91627690662686	1.01113292121649
Ccalc.v2_000059	10.6215700558048	1.83238015444059	2.64795110022632	3.67340940468148	6.80464611546267	2.02226584243298
Ccalc.v2_000060	11665.1393137877	5538.67441348909	8260.283457156	11490.4246178437	13452.7853702697	40410.9383293382
Ccalc.v2_000061	13826.628820144	9061.11986370872	9146.0231001817	17590.5801104929	11194.6149522383	24549.2961942151
Ccalc.v2_000062	0	1.22158676962706	1.32397555011316	1.37752852675556	0	2.02226584243298
Ccalc.v2_000063	148.701980781268	174.68690805667	193.300430316521	232.802321021689	207.055660370507	201.215451322081
Ccalc.v2_000064	18.5877475976585	20.76697508366	25.15553545215	4.13258558026667	105.958060940776	2.02226584243298
