,SRR3948522,SRR3948580,SRR3948532,SRR3948545,SRR3948559,SRR3948571,SRR3948576,SRR3948523,SRR3948530,SRR3948535,SRR3948538,SRR3948546,SRR3948551,SRR3948569
gene-LOC117223961,2.06805989091756,-2.81332833899805,-2.81332833899805,0.933898857839293,-2.81332833899805,-2.81332833899805,2.6341842468683,-2.81332833899805,-2.81332833899805,-2.81332833899805,2.0034272009416,1.0753014010907,1.6596833171802,-2.81332833899805
gene-LOC117223962,5.90212826593242,5.24994663022334,5.80975154938717,5.5268790684252,5.83485065269003,5.44785193533411,5.87945998259573,5.42941167037967,5.89300673695001,5.06679280656481,5.63838107864272,5.4068574929393,5.4362423374956,5.98946352298208
gene-LOC117223963,4.65720568407172,7.36501261273725,7.19088874553835,7.17288490479508,6.68408742111991,7.10767245118594,4.37851034967233,7.28500009961039,6.98554712582556,6.48360780013511,4.55414269151196,7.06649231383255,4.58206648124844,7.16095185396903
gene-LOC117223967,2.41567754004182,-2.81332833899805,1.05315865380937,-2.81332833899805,-2.81332833899805,-2.81332833899805,2.46570158916669,-2.81332833899805,-2.81332833899805,1.01692856570151,1.92676394044907,-2.81332833899805,2.49364923794474,1.21171002233744
gene-LOC117223959,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,2.12450750571176
gene-LOC117224008,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-1.16352879469648,-2.81332833899805,-2.81332833899805,-2.81332833899805
gene-LOC117223951,-2.81332833899805,2.81273567612173,3.87631661738733,3.90800764582966,-2.81332833899805,3.53545370844976,-2.81332833899805,1.15141959652673,-2.81332833899805,1.01692856570151,-2.81332833899805,-2.81332833899805,-1.16862411898254,2.67860095475685
gene-LOC117223950,4.79916447599011,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,4.11938827556278,-2.81332833899805,-2.81332833899805,-2.81332833899805,5.76472734234562,-2.81332833899805,5.97856975016689,1.21171002233744
gene-LOC117223953,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-1.09119353283647,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805
gene-LOC117223968,0.497370538087247,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,-2.81332833899805,0.713654830279292,-2.81332833899805,-2.81332833899805,-2.81332833899805,0.598853365007372,-2.81332833899805,0.776856099974225,-2.81332833899805
