	SRR3948522	SRR3948580	SRR3948532	SRR3948545	SRR3948559	SRR3948571	SRR3948576	SRR3948523	SRR3948530	SRR3948535	SRR3948538	SRR3948546	SRR3948551	SRR3948569
gene-LOC117218256	5.21802270835842	4.04670193783884	10.8017288635895	34.3663442193047	3.15518539727797	0	9.80229001696345	0	26.5115557804451	5.24722300903127	7.46005546048144	0	5.55687769498279	6.12097494511902
gene-LOC117218254	39.4612967319605	9.44230452162396	23.4037458711105	13.0919406549732	22.0862977809458	30.1663866435188	27.8111484202219	13.6213105484419	24.4722053357955	19.2398176997813	124.955928963064	5.49670131299606	82.324113999745	14.2822748719444
gene-LOC117218189	168.607358763831	2.69780129189256	7.20115257572632	8.18246290935827	0	7.5415966608797	161.851765396373	0	4.07870088929925	3.49814867268752	201.007049907416	3.66446754199737	190.37451362441	10.2016249085317
gene-LOC117218191	0.815316048181002	43.164820670281	45.0072035982895	55.6407477836363	31.5518539727797	52.7911766261579	0.227960232952638	29.188522603804	36.7083080036933	29.7342637178439	0	58.631480671958	0.205810284999362	32.6451997073015
gene-LOC117218210	46.6360779559533	56.6538271297437	55.8089324618789	58.9137329473796	74.1468568360324	67.8743699479173	50.6071717154857	42.8098331522459	42.8263593376422	45.4759327449377	46.625346628009	62.2959482139553	43.0143495648667	36.7258496707141
gene-LOC117218211	5.54414912763082	161.868077513554	171.0273736735	212.744035643315	190.888716535317	254.52888730469	7.29472745448443	180.968840143585	263.076207359802	176.65650797072	5.80226535815223	157.572104305887	12.1428068149624	208.113148134047
gene-LOC117218177	0.326126419272401	0	1.80028814393158	4.90947774561496	0	9.42699582609963	0.227960232952638	0	0	1.74907433634376	0	0	0	0
gene-LOC117218212	10.4360454167168	1.34890064594628	1.80028814393158	0	0	5.65619749565978	10.9420911817266	3.89180301384053	0	5.24722300903127	2.69390891628496	0	8.2324113999745	2.04032498170634
gene-LOC117218187	129.472188451143	0	0	1.63649258187165	4.73277809591696	0	155.696839106652	0	0	0	244.316816330767	0	213.425265544339	0
gene-LOC117218188	30.9820098308781	1.34890064594628	0	0	1.57759269863899	1.88539916521993	37.841398670138	0	2.03935044464963	1.74907433634376	37.5075010651983	0	34.7819381648923	0
gene-LOC117218203	73.3784443362902	1.34890064594628	0	8.18246290935827	3.15518539727797	0	222.489187361775	0	2.03935044464963	1.74907433634376	64.8610377536303	3.66446754199737	78.2079082997577	2.04032498170634
gene-LOC117218208	48.2667100523153	53.9560258378512	37.8060510225632	45.8217922924063	36.2846320686967	33.9371849739587	57.2180184711122	31.1344241107243	32.629607114394	26.2361150451564	53.6709545629081	54.9670131299606	40.338815859875	51.0081245426585
gene-LOC117218207	87.2388171553673	300.80484404602	275.444086021532	333.844486701817	291.854649248213	361.996639722226	79.7860815334234	313.290142614163	352.807626924385	260.61207611522	77.5016872838905	251.01602662682	82.7357345697437	359.097196780316
gene-LOC117218219	52.5063535028566	86.3296413405619	126.020170075211	130.919406549732	143.560935576148	126.321744069735	7.06676722153179	130.375400963658	181.502189573817	82.2064938081566	18.2356911256213	93.443922320933	34.7819381648923	193.830873262102
gene-LOC117218221	330.692189142215	5.39560258378512	5.40086443179474	3.27298516374331	7.88796349319494	0	614.35282780736	5.8377045207608	6.11805133394888	3.49814867268752	257.164689623818	5.49670131299606	346.172899368928	8.16129992682536
gene-LOC117218222	38.6459806837795	74.1895355270454	95.4152716283737	112.917988149144	85.1900057265053	113.123949913196	38.7532396019485	136.213105484419	91.7707700092332	178.405582307063	36.6786060140337	124.591896427911	35.3993690198903	89.774299195079
gene-LOC117218220	394.612967319605	26.9780129189256	30.6048984468368	45.8217922924063	45.7501882605306	45.2495799652782	368.611696684416	35.0262271245648	50.9837611162407	38.4796353995627	480.344682149888	53.1347793589619	425.204048808683	34.6855246890078
gene-LOC117218240	347.487699734743	0	3.60057628786316	0	1.57759269863899	0	338.976866400573	0	0	1.74907433634376	542.097363461651	0	423.351756243688	0
gene-LOC117218201	10.1099189974444	14.8379071054091	9.00144071965789	8.18246290935827	6.31037079455595	11.3123949913196	10.2582104828687	9.72950753460133	12.2361026678978	13.9925946907501	10.5684119023487	16.4901039389882	8.43822168497386	24.4838997804761
gene-LOC117218200	1.630632096362	8.09340387567768	5.40086443179474	11.4554480731016	7.88796349319494	1.88539916521993	1.36776139771583	1.94590150692027	10.1967522232481	3.49814867268752	0.414447525582302	1.83223377099869	1.02905142499681	6.12097494511902
gene-LOC117218202	0.978379257817203	0	0	0	0	0	0.227960232952638	0	0	0	0.621671288373453	1.83223377099869	1.85229256499426	2.04032498170634
gene-LOC117218165	559.143745842532	6.7445032297314	5.40086443179474	1.63649258187165	6.31037079455595	1.88539916521993	562.605854927111	9.72950753460133	0	0	705.389688541078	5.49670131299606	826.32829427244	4.08064996341268
